path	ground_truth	prediction
common_voice_ur_32016523.mp3	چنانچہ اب فتوے کا مطلب ہی علما کی طرف سے کسی خاص مألے یا واقعے کے بارے میں حتمی فیصلے کا صدور سمجھا جاتا ہے	چنانچہ اب فتویٰ کا مطلب یہ علماء کی طرف سے کسی خاص مالیہ یا واقعہ کے بارے میں حتمی فیصلے کا ستون سمجھا جاتا ہے
common_voice_ur_41150428.mp3	پوری قوم میں سے خوش نصیب ترین افراد چاہے فوجی ہو یا سویلین دشمن کا مقابلہ کریں گے۔۔۔اور وہی غزوہ ہند کے مجاہد ہوں گے۔۔	پورے قوم میں سے خوش نصیب ترین افراد چاہے فوجی ہو یا سولین دشمن کا مقابلہ کریں گے اور وہی غزوہ ہند کے مجاہد ہوں گے
common_voice_ur_31919471.mp3	ہوسکتا ہے کہ آپ کو اپنے انسٹاگرام نیوزفیڈ پہلے سے بہتر لگ رہا ہو یا بہت جلد وہ کچھ بہتر نظر آنے لگے گا	ہو سکتا ہے کہ آپ کو اپنے انسٹاگرام نیوز فیڈ پہلے سے بہتر لگ رہا ہو یا بہت جلد وہ کچھ بہتر نظر آنے لگے
common_voice_ur_38442764.mp3	جب تم دنیا کی مفلسی سے تنگ آجاﺅ اور رزق کا کوئی راستہ نہ نکلے تو صدقہ دے کر اللہ سے تجارت کیا کرو	جب تم دنیا کی مفلسی سے تنگ آ جاؤ اور رزق کا کوئی راستہ نہ نکلے تو صدقہ دے کر اللہ سے تجارت کیا کرو
common_voice_ur_31889349.mp3	ان تمام اقدامات کا مقصد صارفین کو ونڈوز ایکس پی سے نئے آپریٹنگ سسٹم پر اپ گریڈ ہونے میں مدد فراہم کرنا ہے	ان تمام اقدامات کا مقصد صارفین کو ونڈوز ایکس پی سے نئے آپریٹنگ سسٹم پر اپ گریڈ ہونے میں مدد فراہم کرنا ہے
common_voice_ur_31791056.mp3	راستے بھر میں میرے دوست خوبصورت مناظر کیمرے کی آنکھ میں محفوظ کرتے رہے اور میں اپنی یادداشت کے صفحوں پر نقش تحریر کرتاچلا گیا	راستے بھر میں میرے دوست خوبصورت مناظر کیمرے کی آنکھ میں محفوظ کرتے رہے اور میں اپنی یادداشت کے صفحات پر نقش لکھتا چلا گیا
common_voice_ur_32032204.mp3	آنے والے عالمی کپ میں کپتان کی تبدیلی کے حوالے سے ایک سوال پر رمیز راجہ نے کہا کہ یہ ناگزیر معاملہ ہے	آنے والے عالمی کپ میں کپتان کی تبدیلی کے حوالے سے ایک سوال پر رمیز راجہ نے کہا کہ یہ ناگزیر معاملہ ہے
common_voice_ur_31792537.mp3	کاربن ڈائی آکسائیڈ گیس اور آبی بخارات کے علاوہ ، دوسری گیسیں بھی فضا میں شامل ہوکر گرمی میں اضافے کا سبب بن سکتی ہیں	کاربن ڈائی آکسائیڈ گیس اور آبی بخارات کے علاوہ دوسری گیسیں بھی فضا میں شامل ہوکر گرمی میں اضافے کا سبب بن سکتی ہیں
common_voice_ur_31866551.mp3	اس کا نتیجہ یہ نکلا ہے کہ اس لفظ کا رائے یا نقطۂ نظر کے مفہوم میں استعمال کم و بیش متروک ہو گیا ہے	اس کا نتیجہ یہ نکلا ہے کہ اس لفظ کا رائے یا نقطہ نظر کا مفہوم میں استعمال کم و بیش ترک ہوگیا ہے
common_voice_ur_31916871.mp3	لیکن توانائی کے متبادل ذرائع ملنے اور انتھک محنت سے تلاش کرنے کی وجہ سے دن بدن تیل کی ضرورت کم ہوتی جارہی ھے	لیکن توانائی کے متبادل ذرائع ملنے اور انتھک محنت سے تلاش کرنے کی وجہ سے دن بہ دن تیل کی ضرورت کم ہوتی جارہی ہے
common_voice_ur_31793899.mp3	مگر ان جوانوں کی شہادت کو کسی نے یاد نہیں کیا جو پچھلے بارہ سال سے دہشت گردی کی جنگ میں شہید ہوئے	مگر ان نوجوانوں کی شہادت کو کسی نے یاد نہیں کیا جو پچھلے بارہ سال سے دہشت گردی کی جنگ میں شہید ہوئے
common_voice_ur_38422310.mp3	چلو کوئی بات نہیں کبھی وہ دن بھی اللہ لائے گا جب ہم رمضان اور عید دونوں وہیں کریں گے جلدی آئے	چلو کوئی بات نہیں کبھی وہ دن بھی اللہ لائے گا جب ہم رمضان اور عید دونوں وہیں کریں گے جلدی آئے
common_voice_ur_38440462.mp3	میں نے زندگی کی سب سے بڑی سچائی قبرستان کے باہر لکھی دیکھی۔ منزل تو میری یہی تھی، بس زندگی گزر گئی یہاں آتے آتے	میں نے زندگی کی سب سے بڑی سچائی قبرستان کے باہر لکھی دیکھی منظر تو میری یہی تھی بس زندگی گزر گئی یہاں آتے آتے
common_voice_ur_31886133.mp3	علما کی فتویٰ سازی کے نتیجے میںیہ امور گویا حکومت اورعدلیہ کے ہاتھ سے نکل کر غیر متعلق افراد کے ہاتھوں میں آجاتے ہیں	علماء کی فتویٰ سازی کے نتیجے میں یہ امور گویا حکومت اور عدلیہ کے ہاتھ سے نکل کر غیر متعلق افراد کے ہاتھوں میں آ جاتے ہیں
common_voice_ur_38417419.mp3	دوسری طرف اردو شاعری دونوں ممالک میں قابل احترام ہے۔ سرحد کے اس پار، مسلمان اور ہندو دونوں ہی اس رسم کو جاری رکھتے ہیں۔	دوسری طرف اردو شاعری دونوں ممالک کے قابل احترام ہے سرحد کے اس پار مسلمان اور ہندو دونوں ہی اس رسم کو جاری رکھتے ہیں
common_voice_ur_31866235.mp3	ممبئی موٹاپے میں مبتلا ہونے والے بالی ووڈ اداکار رشی کپور نے کہا ہے کہ اب ورزش کرنا انکے بس کی بات نہیں ہے	ممبئی موٹاپے میں مبتلا ہونے والے بالی ووڈ اداکار رشی کپور نے کہا ہے کہ اب ورزش کرنا ان کے بس کی بات نہیں ہے
common_voice_ur_31916945.mp3	اور شمسی توانائی کا پلانٹ لگا نے والے گھر کو حکومت جاپان وعدے وعید کرنے کے بجائے کچھ مالی مدد دیتی ہے	اور شمسی توانائی کا پلانٹ لگانے والے گھر کو حکومت جاپان وعدے وعدہ کرنے کے بجائے کچھ مالی مدد دیتی ہے
common_voice_ur_31828258.mp3	ممبی بالی ووڈ کی معروف اداکارہ شلپا شیٹھی اور اُن کی فیملی نے کسانوں کے لاکھوں روپے قرض ادا کرنے کا اعلان کیا ہے	ممبئی بالی ووڈ کی معروف اداکارہ شلپا شیٹی اور ان کی فیملی نے کسانوں کے لاکھوں روپے قرض ادا کرنے کا اعلان کیا ہے
common_voice_ur_31842108.mp3	اس مدد کیلئے زلزلہ یا سیلاب کا متاثر ہونا ضروری نہیں ھے اور نہ ہی لائن میں لگ کر ڈانڈے کھانے کی ضرورت ھے	اس مدد کے لئے زلزلہ یا سیلاب کا متاثر ہونا ضروری نہیں ہے اور نہ ہی لائن میں لگ کر ٹنڈے کھانے کی ضرورت ہے
common_voice_ur_31927939.mp3	لیکن بہت جلد نسان اور میٹسوبشی وغیرہ کی گاڑیاں جو کہ بیٹری چارج کرنے کے بعد کافی لمبی ڈرائیو کے قابل ہوں گی مارکیٹ میں	لیکن بہت جلد نسان و مٹسوپشی وغیرہ کی گاڑیاں جو کہ بیٹری چارج کرنے کے بعد کافی لمبی ڈرائیو کے قابل ہوں گی مارکیٹ میں
common_voice_ur_31894707.mp3	کہ اس عمل کی دوران میں جو زلزلی آئیں گی وہ مزید زلزلوں کو جنم دینی کا باعث بن سکتی ہیں	کہ اس عمل کے دوران میں جو زلزلے آئیں گی وہ مزید زلزلے کو جنم دینے کا باعث بن سکتی ہیں
common_voice_ur_31829414.mp3	نئی دہلی مانیٹرنگ ڈیسک اگر آپ سوشل میڈیا استعمال کرتے ہیں تو آپ یقینا سیکنڈ فیس ورزش کے متعلق سن رکھا ہو گا	نئی دہلی مانیٹرنگ ڈیسک اگر آپ سوشل میڈیا استعمال کرتے ہیں تو آپ یقیناً سیکنڈ فیز ورزش کے متعلق سن رکھا ہوگا
common_voice_ur_31819943.mp3	تاہم اس میں بہت سے نئے فیچرزاور ایپلی کیشنز کو شامل کرنے کے ساتھ ساتھ موجودہ ورژن کی خامیوں کو بھی دور کیا گیا ہے	تاہم اس میں بہت سے نئے فیچرز اور ایپلی کیشنز کو شامل کرنے کے ساتھ ساتھ موجودہ ورژن کی خامیوں کو بھی دور کیا گیا ہے
common_voice_ur_38471042.mp3	ایک بات ذہن میں بار بار آتی ہے کہ آج ہم لوگ اپنے دین سے اتنے دور کیوں ہوتے جا رہے ہیں؟	ایک بات ذہن میں بار بار آتی ہے کہ آج ہم لوگ اپنے دین سے اتنے دور کیوں ہوتے جا رہے ہیں
common_voice_ur_31890388.mp3	مائیکروسافٹ کارپوریشن نے کہنا ہونا کہ وُہ اپنا تازہ ترین کنسول کو نومبر میں کِسی وقت فروخت کا لینا پیش کرنا گانا	مائیکروسافٹ کارپوریشن نے کہنا ہونا کہ وہ اپنا تازہ ترین کنسول کو نومبر میں کسی وقت فروخت کر لینا پیش کرنا گانا
common_voice_ur_31792671.mp3	بنگلہ دیش کی عدالتِ عالیہ نے طلاق کے ایک مقدمے کا فیصلہ کرتے ہوئے علما کے فتووں کو غیر قانونی قرار دیا ہے	بنگلہ دیش کی عدالت عالیہ نے طلاق کے ایک مقدمے کا فیصلہ کرتے ہوئے علماء کے فتویٰ کو غیر قانونی قرار دیا ہے
common_voice_ur_31823728.mp3	ساتھ یہ جھوٹ بھی بولا ہے کہ فوج کا ایک بھی سپاہی بلوچستان میں نہیں لڑ رہا بلکہ فوجی بیرکوں میں بیٹھے ہیں	ساتھ یہ جھوٹ بھی بولا ہے کہ فوج کا ایک بھی سپاہی بلوچستان میں نہیں لڑ رہا بلکہ فوجی بیرکوں میں بیٹھے ہیں
common_voice_ur_38449988.mp3	لیکن میں آپ کی بات پہ عمل کروں گا کل سے کیونکہ ابھی تو رات ہے مسجد نہیں جا سکتا	لیکن میں آپ کی بات پر عمل کروں گا کل سے کیونکہ ابھی تو رات ہے مسجد نہیں جا سکتا
common_voice_ur_38444224.mp3	میں جب یہ لگوانے گیا تھا تو مکینک نے پوری چھان بین کر کے مجھ سے پوچھا تھا کہ کتنے کا لیا ہے	میں جب یہ لگوانا گیا تھا تو مکینک نے پوری چھان بین کرکے مجھ سے پوچھا تھا کہ کتنے کا لیا ہے
common_voice_ur_31791550.mp3	اچھے مستقبل کی خاطر ہم اور بہت سے لوگ محض اپنا وطن اپنی جان سے پیا را پاکستان چھوڑ آئے ہیں	اچھے مستقبل کی خاطر ہم اور بہت سے لوگ محض اپنا وطن اپنی جان سے پیارا پاکستان چھوڑ آئے ہیں
common_voice_ur_31831737.mp3	ٹیکساس جولائی ایجنسی ماہرین نے انکشاف کیا ہے کہ آم کو جسمانی موٹاپے میں کمی کرنے والا بہترین پھل قرار دیا گیا ہے	ٹیکساس جولائی جنسی ماہرین نے انکشاف کیا ہے کہ آم کو جسمانی موٹاپے میں کمی کرنے والا بہترین پھل قرار دیا گیا ہے
common_voice_ur_31791242.mp3	پورا دن کاروبار زندگی میں مشغول اور محنت سے چور تھک کر شاید گاؤں کے تمام لوگ سو چکے تھے	پورا دن کاروبار زندگی میں مصروف اور محنت سے چور تھک کر شاید گاؤں کے تمام لوگ سو چکے تھے
common_voice_ur_31846082.mp3	کسی عالمِ دین یا کسی اور غیر مجاز فرد کی طرف سے اس کام کو انجام دینے کی کوشش سراسر تجاوز ہے	کسی عالم دین یا کسی اور غیر مجاز فرد کی طرف سے اس کام کو انجام دینے کی کوشش سراسری طور پر جاہ و حواس ہے
common_voice_ur_32053081.mp3	مائیکروسافٹ سکیوریٹی ایزنشل کی اپ ڈیٹس ونڈوز ایکس پی کی سپورٹ ختم ہونے کے ایک سال بعد تک ملتی رہیں گی	مائیکروسافٹ سیکیورٹی ایسینشل اپ ڈیٹ ونڈوز ایس پی کی سپورٹ ختم ہونے کے ایک سال بعد تک ملتی رہے گی
common_voice_ur_31975957.mp3	چاند اپنے جوبن پر تھا اور نورانی کرنیں ہر سو پھیل کر منظر کی لطافت کو مزید نکھار رہی تھیں	چاند اپنے جوبن پر تھا اور نورانی کرنیں ہرسو پھیل کر منظر کی لطافت کو مزید نکھار رہی تھیں
common_voice_ur_31925744.mp3	اب میں ان بر گر اور پیپسی خوروں کو کیسے سمجھاتا کہ میٹھا آملیٹ ہونے کے لئے سننا کوئی ضروری تھوڑی ہے	اب میں ان برگر اور پیپسی خوروں کو کیسے سمجھاتا کہ میٹھا آملیٹ ہونے کے لیے سننا کوئی ضروری تھوڑی ہے
common_voice_ur_32038546.mp3	ممبئی شوبزڈیسک بالی وڈ اداکار امیتابھ بچن اور شاہ رخ خان اب کسی بھی فلم میں ایک ساتھ نظر نہیں آئیں گے	ممبئی شو بزنس ڈیسک بالی ووڈ اداکار امیتابھ بچن اور شاہ رخ خان اب کسی بھی فلم میں ایک ساتھ نظر نہیں آئیں گے
