path	ground_truth	prediction
common_voice_ur_32016523.mp3	چنانچہ اب فتوے کا مطلب ہی علما کی طرف سے کسی خاص مألے یا واقعے کے بارے میں حتمی فیصلے کا صدور سمجھا جاتا ہے	 چنہاچہ فتحے کا مطلب یہ علمہ کی طرف سے کسی خاص مالی یا واقع کے بارے میں حتمی فیصلے کا سدور سمجھ جاتا ہے
common_voice_ur_41150428.mp3	پوری قوم میں سے خوش نصیب ترین افراد چاہے فوجی ہو یا سویلین دشمن کا مقابلہ کریں گے۔۔۔اور وہی غزوہ ہند کے مجاہد ہوں گے۔۔	 پورے قوم میں سے خوش نسیب درین افراد جاہے فوجی ہو یا سویلین دشمن کا مقاولہ کریں گے اور وہی غزوہ ہند کے مجاہد ہوں گے
common_voice_ur_31919471.mp3	ہوسکتا ہے کہ آپ کو اپنے انسٹاگرام نیوزفیڈ پہلے سے بہتر لگ رہا ہو یا بہت جلد وہ کچھ بہتر نظر آنے لگے گا	 ہو سکتا ہے کہ آپ کو اپنے انسائگرام نیوز فیٹ پہلے سے بہتر لگ رہا ہو یا بہت جلد وہ کچھ بہتر نظر آنے لگے
common_voice_ur_38442764.mp3	جب تم دنیا کی مفلسی سے تنگ آجاﺅ اور رزق کا کوئی راستہ نہ نکلے تو صدقہ دے کر اللہ سے تجارت کیا کرو	 جب تم دنیا کی مفلسی سے تنگ آجائو اور رز کا کوئی راستہ نہ نکلے تو صدقہ دے کر اللہ سے تجارت کیا کرو۔
common_voice_ur_31889349.mp3	ان تمام اقدامات کا مقصد صارفین کو ونڈوز ایکس پی سے نئے آپریٹنگ سسٹم پر اپ گریڈ ہونے میں مدد فراہم کرنا ہے	 ان تمام اقتدامات کا مقصد سارفین کو Windows XP سے نئے آپریٹنگ سسٹم پر اپ گریٹ ہونے میں مدد فراہم کرنا ہے
common_voice_ur_31791056.mp3	راستے بھر میں میرے دوست خوبصورت مناظر کیمرے کی آنکھ میں محفوظ کرتے رہے اور میں اپنی یادداشت کے صفحوں پر نقش تحریر کرتاچلا گیا	 راستے بھر میں میرے دو سکوب سورت منان سرکیمری کی آنکھ میں محفوظ کرتے رہے اور میں اپنی یادش کے سفر پر نقش تحریر کردہ چلا کیا
common_voice_ur_32032204.mp3	آنے والے عالمی کپ میں کپتان کی تبدیلی کے حوالے سے ایک سوال پر رمیز راجہ نے کہا کہ یہ ناگزیر معاملہ ہے	 آنے والے عالمی قبطان کی تبدیلی کے حوالے سے ایک سوال پر رمیز راجہ نے کہا کہ یہ ناوزیر معاملہ ہے
common_voice_ur_31792537.mp3	کاربن ڈائی آکسائیڈ گیس اور آبی بخارات کے علاوہ ، دوسری گیسیں بھی فضا میں شامل ہوکر گرمی میں اضافے کا سبب بن سکتی ہیں	 کارپن ڈائوکسائڈ گیس اور ابھی بخارات کے علاوہ دوسری گیسیں بھی فضا میں شامل ہو کر کرمی میں اضافے کا سبب بن سکتی ہیں
common_voice_ur_31866551.mp3	اس کا نتیجہ یہ نکلا ہے کہ اس لفظ کا رائے یا نقطۂ نظر کے مفہوم میں استعمال کم و بیش متروک ہو گیا ہے	 اس کا نتیجہ یہ نکلا ہے کہ اس لغس کا رائی یا نقطہ نظر کا مفہوم میں استعمال کا مبیش متوق ہو گیا ہے۔
common_voice_ur_31916871.mp3	لیکن توانائی کے متبادل ذرائع ملنے اور انتھک محنت سے تلاش کرنے کی وجہ سے دن بدن تیل کی ضرورت کم ہوتی جارہی ھے	 لیکن دوانائی کے متبادل زرائے ملنے اور انتق مہنت سے تلاش کرنے کی وجہ سے دن با دن تیل کی ضرورت کام ہوتی جا رہی ہے
common_voice_ur_31793899.mp3	مگر ان جوانوں کی شہادت کو کسی نے یاد نہیں کیا جو پچھلے بارہ سال سے دہشت گردی کی جنگ میں شہید ہوئے	 مکر ان نوجوانوں کی شہادت کو کسی نے یاد نہیں کیا جو پچھلے بارہ سال سے دیشت کردی کی جنگ میں شہید ہوئے
common_voice_ur_38422310.mp3	چلو کوئی بات نہیں کبھی وہ دن بھی اللہ لائے گا جب ہم رمضان اور عید دونوں وہیں کریں گے جلدی آئے	 چلو کوئی بات نہیں کبھی وہ دن بھی اللہ لائے گا جب ہم رمزان اور ایب دونوں وہیں کریں گے جلدی آئے
common_voice_ur_38440462.mp3	میں نے زندگی کی سب سے بڑی سچائی قبرستان کے باہر لکھی دیکھی۔ منزل تو میری یہی تھی، بس زندگی گزر گئی یہاں آتے آتے	 میں نے زندگی کی سب سے بڑی سچائی قبرستان کے باہر لکھی دیکھی منظل تو میری یہی تھی بس زندگی گزر گئی یہاں آتے آتے
common_voice_ur_31886133.mp3	علما کی فتویٰ سازی کے نتیجے میںیہ امور گویا حکومت اورعدلیہ کے ہاتھ سے نکل کر غیر متعلق افراد کے ہاتھوں میں آجاتے ہیں	 علماء کی فتوہ سازی کے نتیجے میں یہ عمور گویا حکومت اور عدلیہ کے ہاتھ سے نکل کر غیر مطلق افراد کی ہاتھوں میں آجاتے ہیں۔
common_voice_ur_38417419.mp3	دوسری طرف اردو شاعری دونوں ممالک میں قابل احترام ہے۔ سرحد کے اس پار، مسلمان اور ہندو دونوں ہی اس رسم کو جاری رکھتے ہیں۔	 دوسری طرف اردو شاہری دونوں ممالک کے قابل احترام ہیں سرحت کے اس پار مسلمان اور ہندو دونوں ہی اس رسم کو جاری رکھتے ہیں
common_voice_ur_31866235.mp3	ممبئی موٹاپے میں مبتلا ہونے والے بالی ووڈ اداکار رشی کپور نے کہا ہے کہ اب ورزش کرنا انکے بس کی بات نہیں ہے	 ممبئی موٹاپے میں مبتلاہ ہونے والے بالیوڈ اداکار رشی قبول نے کہا ہے کہ اب ورزش کرنا ان کے بس کی بات نہیں ہے
common_voice_ur_31916945.mp3	اور شمسی توانائی کا پلانٹ لگا نے والے گھر کو حکومت جاپان وعدے وعید کرنے کے بجائے کچھ مالی مدد دیتی ہے	 اور شمسی توانائی کا پلان پڑھانے والے گھر کو حکومت جابان وادے وعید کرنے کے بجائے کچھ مانی مدد دیتی ہے
common_voice_ur_31828258.mp3	ممبی بالی ووڈ کی معروف اداکارہ شلپا شیٹھی اور اُن کی فیملی نے کسانوں کے لاکھوں روپے قرض ادا کرنے کا اعلان کیا ہے	 ممبئی بولیوڈ کی معروف ادھاکارہ شلپا شیٹی اور ان کی فیمیلی نے کسانوں کے لاکھوں روپے کرزداد کرنے کا اعلان کیا ہے
common_voice_ur_31842108.mp3	اس مدد کیلئے زلزلہ یا سیلاب کا متاثر ہونا ضروری نہیں ھے اور نہ ہی لائن میں لگ کر ڈانڈے کھانے کی ضرورت ھے	 اس مدد کے لیے ذلزلہ یا سلاب کا متاثر ہونے ضروری نہیں ہے اور نہ یہ لائنوں علاق کر ٹھنڈے کھانے کی ضرورت ہے
common_voice_ur_31927939.mp3	لیکن بہت جلد نسان اور میٹسوبشی وغیرہ کی گاڑیاں جو کہ بیٹری چارج کرنے کے بعد کافی لمبی ڈرائیو کے قابل ہوں گی مارکیٹ میں	 لیکن بہت جل نسان و مٹسابوشی وغیرہ کی گاریاں جو کہ بیٹری چارج کرنے کے بعد کافی لمبی ڈرائیو کے قابل ہوں گی مرکت میں
common_voice_ur_31894707.mp3	کہ اس عمل کی دوران میں جو زلزلی آئیں گی وہ مزید زلزلوں کو جنم دینی کا باعث بن سکتی ہیں	 کہ اس عمل کے دوران میں جو زلجلیں آئیں گی وہ مزید زلجلوں پہ جنب دینے کا باعث بن سکتی ہیں
