path	ground_truth	seamless_large	wav2vec_urdu	whisper_large	whisper_medium
common_voice_ur_32016523.mp3	چنانچہ اب فتوے کا مطلب ہی علما کی طرف سے کسی خاص مألے یا واقعے کے بارے میں حتمی فیصلے کا صدور سمجھا جاتا ہے	چنانچہ اب فتویٰ کا مطلب یہ علماء کی طرف سے کسی خاص مالیہ یا واقعہ کے بارے میں حتمی فیصلے کا ستون سمجھا جاتا ہے	چناچا فتوے کا مطلب ی علمہ کی طرف سے کسی خاص معلع یا واقعے کے بارے میں حتمی فیصلے کا صدورسم جا جاتا ہے	 چنانچہ فتوے کا مطلب یہ علماء کی طرف سے کسی خاص مالے یا واقعے کے بارے میں حتمی فیصلے کا سدور سمجھا جاتا ہے	 چنہاچہ فتحے کا مطلب یہ علمہ کی طرف سے کسی خاص مالی یا واقع کے بارے میں حتمی فیصلے کا سدور سمجھ جاتا ہے
common_voice_ur_41150428.mp3	پوری قوم میں سے خوش نصیب ترین افراد چاہے فوجی ہو یا سویلین دشمن کا مقابلہ کریں گے۔۔۔اور وہی غزوہ ہند کے مجاہد ہوں گے۔۔	پورے قوم میں سے خوش نصیب ترین افراد چاہے فوجی ہو یا سولین دشمن کا مقابلہ کریں گے اور وہی غزوہ ہند کے مجاہد ہوں گے	پورے قام میں سے خوش نصیب ترین افراد چاہے فوجی ہو یا سویلین دشمن کا مقاولہ کریں گے اور وہی غضوہہند کے مجاحد ہوںگے	 پورے قوم میں سے خوش نصیب ترین افراد چاہے فوجی ہو یا سویلین دشمن کا مقابلہ کریں گے اور وہی غزوہ ہند کے مجاہد ہوں گے	 پورے قوم میں سے خوش نسیب درین افراد جاہے فوجی ہو یا سویلین دشمن کا مقاولہ کریں گے اور وہی غزوہ ہند کے مجاہد ہوں گے
common_voice_ur_31919471.mp3	ہوسکتا ہے کہ آپ کو اپنے انسٹاگرام نیوزفیڈ پہلے سے بہتر لگ رہا ہو یا بہت جلد وہ کچھ بہتر نظر آنے لگے گا	ہو سکتا ہے کہ آپ کو اپنے انسٹاگرام نیوز فیڈ پہلے سے بہتر لگ رہا ہو یا بہت جلد وہ کچھ بہتر نظر آنے لگے	ہو سکتا ہے کہ آپ کو اپنی انصگرامنیوس فیٹ پیلے سے بیدھر لگ رہا ہو یا بہت جلد وہ کش بہتر نظر آنے لگے	 ہو سکتا ہے کہ آپ کو اپنے انسیگرام نیوز فیڈ پہلے سے بہتر لگ رہا ہو یا بہت جلد وہ کچھ بہتر نظر آنے لگے	 ہو سکتا ہے کہ آپ کو اپنے انسائگرام نیوز فیٹ پہلے سے بہتر لگ رہا ہو یا بہت جلد وہ کچھ بہتر نظر آنے لگے
common_voice_ur_38442764.mp3	جب تم دنیا کی مفلسی سے تنگ آجاﺅ اور رزق کا کوئی راستہ نہ نکلے تو صدقہ دے کر اللہ سے تجارت کیا کرو	جب تم دنیا کی مفلسی سے تنگ آ جاؤ اور رزق کا کوئی راستہ نہ نکلے تو صدقہ دے کر اللہ سے تجارت کیا کرو	جب تم دنیا کی مفلصی سے تنگ آج جاو اور رس کا کوئی راستہ نا نکلیے تو سد کا دیک کر اللہ سے تجارت کیا کرو	 جب تم دنیا کی مفلسی سے تنگ آ جاؤ اور رزق کا کوئی راستہ نہ نکلے تو صدقہ دے کر اللہ سے تجارت کیا کرو	 جب تم دنیا کی مفلسی سے تنگ آجائو اور رز کا کوئی راستہ نہ نکلے تو صدقہ دے کر اللہ سے تجارت کیا کرو۔
common_voice_ur_31889349.mp3	ان تمام اقدامات کا مقصد صارفین کو ونڈوز ایکس پی سے نئے آپریٹنگ سسٹم پر اپ گریڈ ہونے میں مدد فراہم کرنا ہے	ان تمام اقدامات کا مقصد صارفین کو ونڈوز ایکس پی سے نئے آپریٹنگ سسٹم پر اپ گریڈ ہونے میں مدد فراہم کرنا ہے	ان تمام اقتعمات کا مقصد صارفین کو ونڈوز ایکس پی سے نئے اپریٹنگ سسٹم پر اب گریڈ ہونے میں مدد فرام کرنا ہے	 ان تمام اقتماد کا مقصد سارفین کو ونڈوز ایکس پی سے نئے اپریٹنگ سسٹم پر اپگریڈ ہونے میں مدد فرام کرنا ہے۔	 ان تمام اقتدامات کا مقصد سارفین کو Windows XP سے نئے آپریٹنگ سسٹم پر اپ گریٹ ہونے میں مدد فراہم کرنا ہے
common_voice_ur_31791056.mp3	راستے بھر میں میرے دوست خوبصورت مناظر کیمرے کی آنکھ میں محفوظ کرتے رہے اور میں اپنی یادداشت کے صفحوں پر نقش تحریر کرتاچلا گیا	راستے بھر میں میرے دوست خوبصورت مناظر کیمرے کی آنکھ میں محفوظ کرتے رہے اور میں اپنی یادداشت کے صفحات پر نقش لکھتا چلا گیا	راستے بھر یں میرے دوست خوبصورت منان صر کیمرے کی انک میںمفوز کرتے رہے اور میں اقنی یادست کے صفغ پ نقس تہریر کرتا چلا کیا	 راستے بھر میں میرے دوست کو بسورت مناظر کیمرے کی آنکھ میں محفوظ کرتے رہے اور میں اپنی یادش کے صفحہ پر نقش تحریر کرتا چلا گیا۔	 راستے بھر میں میرے دو سکوب سورت منان سرکیمری کی آنکھ میں محفوظ کرتے رہے اور میں اپنی یادش کے سفر پر نقش تحریر کردہ چلا کیا
common_voice_ur_32032204.mp3	آنے والے عالمی کپ میں کپتان کی تبدیلی کے حوالے سے ایک سوال پر رمیز راجہ نے کہا کہ یہ ناگزیر معاملہ ہے	آنے والے عالمی کپ میں کپتان کی تبدیلی کے حوالے سے ایک سوال پر رمیز راجہ نے کہا کہ یہ ناگزیر معاملہ ہے	منے والے آلمی کپنے کپتان کی تبدیلی کے حوالے سے ایک سوال پر رنی ز رآجا نے کہاکہ یہ ناووصیر معاملہ ہے	 آنے والے عالمی کپ میں کپتان کی تبدیلی کے حوالے سے ایک سوال پر رمیز راجہ نے کہا کہ یہ ناوزیر معاملہ ہے	 آنے والے عالمی قبطان کی تبدیلی کے حوالے سے ایک سوال پر رمیز راجہ نے کہا کہ یہ ناوزیر معاملہ ہے
common_voice_ur_31792537.mp3	کاربن ڈائی آکسائیڈ گیس اور آبی بخارات کے علاوہ ، دوسری گیسیں بھی فضا میں شامل ہوکر گرمی میں اضافے کا سبب بن سکتی ہیں	کاربن ڈائی آکسائیڈ گیس اور آبی بخارات کے علاوہ دوسری گیسیں بھی فضا میں شامل ہوکر گرمی میں اضافے کا سبب بن سکتی ہیں	کارپن ڈائ آک سائڈ گیس اور آبھی بخارات کیلاوا دوسری گیسیں بھی فضامیں شامل ہو کر گرمی میں اصافع کا سبحب بند سکتی ہیں	 کارپن ڈائوکسائیڈ گیس اور آبی بخارات کے علاوہ دوسری گیسیں بھی فضاء میں شامل ہو کر گرمی میں اضافے کا سبب بن سکتی ہیں	 کارپن ڈائوکسائڈ گیس اور ابھی بخارات کے علاوہ دوسری گیسیں بھی فضا میں شامل ہو کر کرمی میں اضافے کا سبب بن سکتی ہیں
common_voice_ur_31866551.mp3	اس کا نتیجہ یہ نکلا ہے کہ اس لفظ کا رائے یا نقطۂ نظر کے مفہوم میں استعمال کم و بیش متروک ہو گیا ہے	اس کا نتیجہ یہ نکلا ہے کہ اس لفظ کا رائے یا نقطہ نظر کا مفہوم میں استعمال کم و بیش ترک ہوگیا ہے	اس کا نتیجہ یہ نکلا ہے کہ اس لعفس کارائی یا نقتانظر کا مفوم میں استعمال کا موبعیش مطروق ہو گیا ہے	 اس کا نتیجہ یہ نکلا ہے کہ اس لفظ کا رائے یا نقطہ نظر کا مفہوم میں استعمال کم و بیش متروک ہو گیا ہے۔	 اس کا نتیجہ یہ نکلا ہے کہ اس لغس کا رائی یا نقطہ نظر کا مفہوم میں استعمال کا مبیش متوق ہو گیا ہے۔
common_voice_ur_31916871.mp3	لیکن توانائی کے متبادل ذرائع ملنے اور انتھک محنت سے تلاش کرنے کی وجہ سے دن بدن تیل کی ضرورت کم ہوتی جارہی ھے	لیکن توانائی کے متبادل ذرائع ملنے اور انتھک محنت سے تلاش کرنے کی وجہ سے دن بہ دن تیل کی ضرورت کم ہوتی جارہی ہے	لیکن توانعئی کی متباد ا ضرائے میلنے اور انٹھک محنت سے تلاش کرنے کی وجسے دن بدن ٹیل کی ضرورت کام ہوتی جاڑی ہے	 لیکن دوانائی کے متبادل ذرائع ملنے اور انتھک محنت سے تلاش کرنے کی وجہ سے دن بہ دن تیل کی ضرورت کام ہوتی جا رہی ہے	 لیکن دوانائی کے متبادل زرائے ملنے اور انتق مہنت سے تلاش کرنے کی وجہ سے دن با دن تیل کی ضرورت کام ہوتی جا رہی ہے
