path	ground_truth	prediction
common_voice_ur_32016523.mp3	چنانچہ اب فتوے کا مطلب ہی علما کی طرف سے کسی خاص مألے یا واقعے کے بارے میں حتمی فیصلے کا صدور سمجھا جاتا ہے	چناچا فتوے کا مطلب ی علمہ کی طرف سے کسی خاص معلع یا واقعے کے بارے میں حتمی فیصلے کا صدورسم جا جاتا ہے
common_voice_ur_41150428.mp3	پوری قوم میں سے خوش نصیب ترین افراد چاہے فوجی ہو یا سویلین دشمن کا مقابلہ کریں گے۔۔۔اور وہی غزوہ ہند کے مجاہد ہوں گے۔۔	پورے قام میں سے خوش نصیب ترین افراد چاہے فوجی ہو یا سویلین دشمن کا مقاولہ کریں گے اور وہی غضوہہند کے مجاحد ہوںگے
common_voice_ur_31919471.mp3	ہوسکتا ہے کہ آپ کو اپنے انسٹاگرام نیوزفیڈ پہلے سے بہتر لگ رہا ہو یا بہت جلد وہ کچھ بہتر نظر آنے لگے گا	ہو سکتا ہے کہ آپ کو اپنی انصگرامنیوس فیٹ پیلے سے بیدھر لگ رہا ہو یا بہت جلد وہ کش بہتر نظر آنے لگے
common_voice_ur_38442764.mp3	جب تم دنیا کی مفلسی سے تنگ آجاﺅ اور رزق کا کوئی راستہ نہ نکلے تو صدقہ دے کر اللہ سے تجارت کیا کرو	جب تم دنیا کی مفلصی سے تنگ آج جاو اور رس کا کوئی راستہ نا نکلیے تو سد کا دیک کر اللہ سے تجارت کیا کرو
common_voice_ur_31889349.mp3	ان تمام اقدامات کا مقصد صارفین کو ونڈوز ایکس پی سے نئے آپریٹنگ سسٹم پر اپ گریڈ ہونے میں مدد فراہم کرنا ہے	ان تمام اقتعمات کا مقصد صارفین کو ونڈوز ایکس پی سے نئے اپریٹنگ سسٹم پر اب گریڈ ہونے میں مدد فرام کرنا ہے
common_voice_ur_31791056.mp3	راستے بھر میں میرے دوست خوبصورت مناظر کیمرے کی آنکھ میں محفوظ کرتے رہے اور میں اپنی یادداشت کے صفحوں پر نقش تحریر کرتاچلا گیا	راستے بھر یں میرے دوست خوبصورت منان صر کیمرے کی انک میںمفوز کرتے رہے اور میں اقنی یادست کے صفغ پ نقس تہریر کرتا چلا کیا
common_voice_ur_32032204.mp3	آنے والے عالمی کپ میں کپتان کی تبدیلی کے حوالے سے ایک سوال پر رمیز راجہ نے کہا کہ یہ ناگزیر معاملہ ہے	منے والے آلمی کپنے کپتان کی تبدیلی کے حوالے سے ایک سوال پر رنی ز رآجا نے کہاکہ یہ ناووصیر معاملہ ہے
common_voice_ur_31792537.mp3	کاربن ڈائی آکسائیڈ گیس اور آبی بخارات کے علاوہ ، دوسری گیسیں بھی فضا میں شامل ہوکر گرمی میں اضافے کا سبب بن سکتی ہیں	کارپن ڈائ آک سائڈ گیس اور آبھی بخارات کیلاوا دوسری گیسیں بھی فضامیں شامل ہو کر گرمی میں اصافع کا سبحب بند سکتی ہیں
common_voice_ur_31866551.mp3	اس کا نتیجہ یہ نکلا ہے کہ اس لفظ کا رائے یا نقطۂ نظر کے مفہوم میں استعمال کم و بیش متروک ہو گیا ہے	اس کا نتیجہ یہ نکلا ہے کہ اس لعفس کارائی یا نقتانظر کا مفوم میں استعمال کا موبعیش مطروق ہو گیا ہے
common_voice_ur_31916871.mp3	لیکن توانائی کے متبادل ذرائع ملنے اور انتھک محنت سے تلاش کرنے کی وجہ سے دن بدن تیل کی ضرورت کم ہوتی جارہی ھے	لیکن توانعئی کی متباد ا ضرائے میلنے اور انٹھک محنت سے تلاش کرنے کی وجسے دن بدن ٹیل کی ضرورت کام ہوتی جاڑی ہے
common_voice_ur_31793899.mp3	مگر ان جوانوں کی شہادت کو کسی نے یاد نہیں کیا جو پچھلے بارہ سال سے دہشت گردی کی جنگ میں شہید ہوئے	مگر ان نو جوہانوں کی شہاطت کو کسی نے یاد نہیں کیا جو پچھلے بارہ سال سے دیشت کرتی کی جنگ میں شہید ہوگےا
common_voice_ur_38422310.mp3	چلو کوئی بات نہیں کبھی وہ دن بھی اللہ لائے گا جب ہم رمضان اور عید دونوں وہیں کریں گے جلدی آئے	چلوں کوئی بات نی کبھی وہ دن بھی اللہ لائے گا جب حاب مرمزان اور عیق دونوں وہیں کریں گی جل دیائے
common_voice_ur_38440462.mp3	میں نے زندگی کی سب سے بڑی سچائی قبرستان کے باہر لکھی دیکھی۔ منزل تو میری یہی تھی، بس زندگی گزر گئی یہاں آتے آتے	میںنے زندگی کی سب سے بڑی سے چائے کبرستان کے بھاہر لکھی دی کھی منظر تو میری یہی تھی بس زندگی گزر گئ یہاں آے آتے
common_voice_ur_31886133.mp3	علما کی فتویٰ سازی کے نتیجے میںیہ امور گویا حکومت اورعدلیہ کے ہاتھ سے نکل کر غیر متعلق افراد کے ہاتھوں میں آجاتے ہیں	ععلمہا کی فتویہ صاضی کے نتیجے میں یہ عمور گیا حکومت اور عدلیہ کے ہاتھ ہے نکل کر غیر متعلق فرات کی اتھوں میں آ جاتے ہے
common_voice_ur_38417419.mp3	دوسری طرف اردو شاعری دونوں ممالک میں قابل احترام ہے۔ سرحد کے اس پار، مسلمان اور ہندو دونوں ہی اس رسم کو جاری رکھتے ہیں۔	دوسری طرف اورتو شاہری دونوں م مالیک کے قابل اہترام ہے صرحدکہ اس پار مسلمان وڑہیدود دونوں ہی اس رسم کو جاری رکھتے ہے
common_voice_ur_31866235.mp3	ممبئی موٹاپے میں مبتلا ہونے والے بالی ووڈ اداکار رشی کپور نے کہا ہے کہ اب ورزش کرنا انکے بس کی بات نہیں ہے	ممبئی معٹاپے میں بطلا ہونے والے بای وڈ اداکار رشی کپونے کہا ہے کہ اب برزش کرنا انکے بس کی بات نہیں ہے
common_voice_ur_31916945.mp3	اور شمسی توانائی کا پلانٹ لگا نے والے گھر کو حکومت جاپان وعدے وعید کرنے کے بجائے کچھ مالی مدد دیتی ہے	اور شمصی طوہانائے کا پلانٹ پگانے والے کھرے ھو اکومت جاپان بھاتی وعیٹھ کرنے کے ب جائے کچھ مانی مدد دیتی ہے
common_voice_ur_31828258.mp3	ممبی بالی ووڈ کی معروف اداکارہ شلپا شیٹھی اور اُن کی فیملی نے کسانوں کے لاکھوں روپے قرض ادا کرنے کا اعلان کیا ہے	ممبئی بالوڈ کی معروففدا کارا شرفح شیٹی اور رنقی فینلی نے کستان وں کے لا کھورپے کر زداکرنے کا علان کیا ہے
common_voice_ur_31842108.mp3	اس مدد کیلئے زلزلہ یا سیلاب کا متاثر ہونا ضروری نہیں ھے اور نہ ہی لائن میں لگ کر ڈانڈے کھانے کی ضرورت ھے	اس مدد کے لیے دلزلہ یا صعلاف کا مطاصر و نا ظروری نہئیں ے ورنا ہی لین ویں لق کر ٹنڈے کھانی کی ضرووت ہے
common_voice_ur_31927939.mp3	لیکن بہت جلد نسان اور میٹسوبشی وغیرہ کی گاڑیاں جو کہ بیٹری چارج کرنے کے بعد کافی لمبی ڈرائیو کے قابل ہوں گی مارکیٹ میں	لیکن بہت جلنے سان و مٹصبشی و غیرع کی گاڑیاں جوکے بیٹری چارج کرنے کے بعد کافی لمبی ڈرائو کے قابل ہون گی مارکٹ میں
common_voice_ur_31894707.mp3	کہ اس عمل کی دوران میں جو زلزلی آئیں گی وہ مزید زلزلوں کو جنم دینی کا باعث بن سکتی ہیں	کہ اس عمل کے دوران مید جو لی آئن گی کومزید جلجلوں پو جنم دینے گا باعس بند سکتی ہے
common_voice_ur_31829414.mp3	نئی دہلی مانیٹرنگ ڈیسک اگر آپ سوشل میڈیا استعمال کرتے ہیں تو آپ یقینا سیکنڈ فیس ورزش کے متعلق سن رکھا ہو گا	نئی دہلی ما نیٹرنگ ڈسک اگر آپ سوشل میڈیا استعمال کرتے ہیں تو آپ یقینا سیکنڈ فیس ورزش کے متالق سنرکا ہو گا
common_voice_ur_31819943.mp3	تاہم اس میں بہت سے نئے فیچرزاور ایپلی کیشنز کو شامل کرنے کے ساتھ ساتھ موجودہ ورژن کی خامیوں کو بھی دور کیا گیا ہے	تاہم اس میں بہت سے نئیے فیچرز اور احقلیکیشنز کو شامل کرنے کے ساتھ ساتھ موجودہورینز کی خامیوں کو بھی دور کیا گیا ہے
common_voice_ur_38471042.mp3	ایک بات ذہن میں بار بار آتی ہے کہ آج ہم لوگ اپنے دین سے اتنے دور کیوں ہوتے جا رہے ہیں؟	ایک بار ظحن میں بار بر آتی ہے کہ آج ہم لوگ اپنے دین سے اتنے دور کیوں ہوتے جا رہے ہے
common_voice_ur_31890388.mp3	مائیکروسافٹ کارپوریشن نے کہنا ہونا کہ وُہ اپنا تازہ ترین کنسول کو نومبر میں کِسی وقت فروخت کا لینا پیش کرنا گانا	مایکروسافٹ ارپریشن نے کہنا ہونا کہ وہ اپناتعضہ ترین کنسول کو نویبرمں کسی وق فروخت کرلیںنا پیش کرنا گانا
common_voice_ur_31792671.mp3	بنگلہ دیش کی عدالتِ عالیہ نے طلاق کے ایک مقدمے کا فیصلہ کرتے ہوئے علما کے فتووں کو غیر قانونی قرار دیا ہے	بنگلہ تیش کی ادادت االیا نے تلاق کے ایک مقدمیے کا فیصلہ کرتے ہوے لما کے فطوہ قو غیر قانونی کرار دیا ہے
common_voice_ur_31823728.mp3	ساتھ یہ جھوٹ بھی بولا ہے کہ فوج کا ایک بھی سپاہی بلوچستان میں نہیں لڑ رہا بلکہ فوجی بیرکوں میں بیٹھے ہیں	خاتھ یہ جھوٹھ بھی بھولا ہے کہ فوج کا ایک بھیک سپاہی بلوکستان میں نہیں لڑ رہا بل کہ فوجی بیرکو میں بیٹھے ہیں
common_voice_ur_38449988.mp3	لیکن میں آپ کی بات پہ عمل کروں گا کل سے کیونکہ ابھی تو رات ہے مسجد نہیں جا سکتا	لیکن می آپ کی باتمیں عمل قرومگک کل سے کمکی ابھی طرات ہے محصد نہیں جا سکتا
common_voice_ur_38444224.mp3	میں جب یہ لگوانے گیا تھا تو مکینک نے پوری چھان بین کر کے مجھ سے پوچھا تھا کہ کتنے کا لیا ہے	میں جبہیہ لگہوان رگیا صحت ت مکینک نے پوری چھانبین کھر کے مجھ سے پوچا تھا کی کتنے کر ڈیا ہے
common_voice_ur_31791550.mp3	اچھے مستقبل کی خاطر ہم اور بہت سے لوگ محض اپنا وطن اپنی جان سے پیا را پاکستان چھوڑ آئے ہیں	اچھے مستقبل کی خاتر ہم اور بہت سے لوگ بحص اپنا وطن اپنی جان سے پیارا پاکستان چھوڑ آئےں ہیں
