path,sentence,seamless-large,whisper-large,whisper-medium,wav2vec2-urdu,whisper-small,alif_1,whisper-large_text,WER_whisper-large,whisper-medium_text,WER_whisper-medium,wav2vec2-urdu_text,WER_wav2vec2-urdu,whisper-small_text,WER_whisper-small,seamless-large_text,WER_seamless-large,WER_alif_1
common_voice_ur_32024151.mp3,تمام انسانیت کو اس دلخراش بیماری سے بچاے,"[('تمام', 0.7815104126930237), ('انسانیت', 0.7821329832077026), ('کو', 0.8102591633796692), ('اس', 0.6637172400951385), ('دلخراش', 0.7458979487419128), ('بیماری', 0.8225130438804626), ('سے', 0.8483359217643738), ('بچائے', 0.7818683981895447)]","[('تمام', 0.9988244473934174), ('انسانیت', 0.9786860585212708), ('کو', 0.5974619388580322), ('اس', 0.9873846769332886), ('تلخراش', 0.9819789528846741), ('بیماری', 0.9856976509094239), ('سے', 0.9972860813140869), ('بچائے', 0.9881371855735779)]","[('تمام', 0.9027050733566284), ('انسانیت', 0.899080491065979), ('کو', 0.3088141679763794), ('اس', 0.4552929103374481), ('دلخراش', 0.9021933794021606), ('بیماری', 0.8717123746871949), ('سے', 0.9797917008399963), ('بچائے', 0.645179033279419)]","[('تمام', 0.9997262954711914), ('انسائنت', 0.9822555780410767), ('کو', 0.9595979452133179), ('اس', 0.9086830615997314), ('تلخراش', 0.9989758133888245), ('بھیماری', 0.9930704832077026), ('سے', 0.9949181079864502), ('پچعے', 0.9648689031600952)]","[('تمام', 0.615280270576477), ('انسانت', 0.7050565332174301), ('کو', 0.6335042715072632), ('اس', 0.6590129137039185), ('جلخراش', 0.7406670808792114), ('بیماری', 0.82871413230896), ('سے', 0.9859887361526489), ('بجائے', 0.8319297432899475)]",تمام انسانیت کو اس تلخراش بیماری سے بچائے,تمام انسانیت کو اس تلخراش بیماری سے بچائے,0.25,تمام انسانیت کو اس دلخراش بیماری سے بچائے,0.125,تمام انسائنت کو اس تلخراش بھیماری سے پچعے,0.5,تمام انسانت کو اس جلخراش بیماری سے بجائے,0.375,تمام انسانیت کو اس دلخراش بیماری سے بچائے,0.125,0.25
common_voice_ur_41175279.mp3,لیکن ہم جیسے پتہ نہیں کن فضول باتوں میں پڑے رہتے ہیں۔,"[('اس', 0.06955453008413315), ('کے', 0.1345961093902588), ('بعد', 0.31450238823890686), ('وہ', 0.0758357048034668), ('اپنے', 0.04421909153461456), ('گھر', 0.051948778331279755), ('میں', 0.11687134206295013), ('واپس', 0.06209425628185272), ('آ', 0.1610075980424881), ('گئے', 0.23339290916919708)]","[('موسیقی', 0.7831755578517914)]","[('مجھے', 0.12867654114961624), ('بھی', 0.5121747627854347), ('بہت', 0.2685365279515584), ('ساری', 0.12194100022315979), ('بارہ', 0.17336614429950714), ('بھی', 0.8)]","[('اا', 0.9930024743080139)]","[('ایسا', 0.22187232971191406), ('بہترین', 0.10152192413806915)]",اا بھی بعد ساری بارہ بھی میں واپس آ گئے,موسیقی,1.0,مجھے بھی بہت ساری بارہ بھی,1.0,اا,1.0,ایسا بہترین,1.0,اس کے بعد وہ اپنے گھر میں واپس آ گئے,0.9166666666666666,0.9166666666666666
common_voice_ur_32026608.mp3,میں اسلام آباد سے دور ایک علاقے میں رہتی ہوں,"[('میں', 0.7918152809143066), ('اسلام', 0.8223279118537903), ('آباد', 0.7833907008171082), ('سے', 0.807034969329834), ('دور', 0.8041504621505737), ('ایک', 0.8140307664871216), ('علاقے', 0.6173028945922852), ('میں', 0.8200846314430237), ('رہتی', 0.8019698858261108), ('ہوں', 0.7572015225887299)]","[('میں', 0.9989180564880371), ('اس', 0.9980048537254333), ('آباد', 0.9949801762898763), ('سے', 0.9997286200523376), ('دور', 0.998259425163269), ('ایک', 0.986694723367691), ('علاقے', 0.9990919828414917), ('میں', 0.9948741793632507), ('رہتی', 0.9647976954778036), ('ہوں', 0.8)]","[('میں', 0.21020612120628357), ('سانہ', 0.8742906252543131), ('باد', 0.6623689830303192), ('سے', 0.25005483627319336), ('دورے', 0.8860672314961752), ('کے', 0.9814147353172302), ('علاقے', 0.9710869640111923), ('میں', 0.945087194442749), ('رہتی', 0.8653833270072937), ('ہوں', 0.8)]","[('بیچھ', 0.9997226595878601), ('آ', 0.9997193217277527), ('بعد', 0.9030104279518127), ('سے', 0.95472252368927), ('دورے', 0.9479250907897949), ('کیلاٹئی', 0.9269363284111023), ('میں', 0.997674822807312), ('رہتی', 0.9993607401847839), ('ہی', 0.9253142476081848)]","[('میں', 0.9848757386207581), ('سابات', 0.7470736900965372), ('سے', 0.9577709436416626), ('دور', 0.6806432902812958), ('ایک', 0.8267304003238678), ('علاقے', 0.8331101834774017), ('میں', 0.8727023005485535), ('رہتی', 0.5081634521484375), ('ہوں', 0.8)]",میں آ آباد سے دورے ایک علاقے میں رہتی ہوں,میں اس آباد سے دور ایک علاقے میں رہتی ہوں,0.1,میں سانہ باد سے دورے کے علاقے میں رہتی ہوں,0.4,بیچھ آ بعد سے دورے کیلاٹئی میں رہتی ہی,0.7,میں سابات سے دور ایک علاقے میں رہتی ہوں,0.2,میں اسلام آباد سے دور ایک علاقے میں رہتی ہوں,0.0,0.2
common_voice_ur_38472238.mp3,گریے سے یاں پنبہٴ بالش کف سیلاب تھا,"[('گریہ', 0.35899630188941956), ('سے', 0.6900263726711273), ('یہاں', 0.5367430448532104), ('یمبہ', 0.4769480526447296), ('ابالشکوفا', 0.60733762383461), ('سیلاب', 0.7708649337291718), ('تھا', 0.7340855399767557)]","[('گریے', 0.9934891661008199), ('سے', 0.9961575865745544), ('یہاں', 0.9519591132799784), ('یمبہ', 0.728086493909359), ('عبالش', 0.9654940962791443), ('کوفہ', 0.9546908934911092), ('سیلاب', 0.9857704639434814), ('تھا', 0.8)]","[('گریے', 0.8514474630355835), ('سے', 0.9635292291641235), ('یہاں', 0.8096928397814432), ('یمبا', 0.726364940404892), ('عبالِ', 0.7833137363195419), ('شکوفہ', 0.7972000539302826), ('سلاب', 0.8420659005641937), ('تھا', 0.8)]","[('گریے', 0.9996726512908936), ('سے', 0.9777411818504333), ('یںں', 0.9947099089622498), ('یمبا', 0.933947741985321), ('ابھالے', 0.9807020425796509), ('شقوفا', 0.9510880708694458), ('سعلاب', 0.9708957672119141), ('تھا', 0.9927678108215332)]","[('گر', 0.7604860365390778), ('یہ', 0.9997662901878357), ('سے', 0.6913373470306396), ('یہاں', 0.6741319596767426), ('یمبہ', 0.6351337619125843), ('عبالش', 0.4707527384161949), ('اکوفا', 0.8104885891079903), ('سلاب', 0.7494360655546188), ('تھا', 0.8)]",گریے سے یہاں یمبا ابھالے کوفہ سیلاب تھا تھا,گریے سے یہاں یمبہ عبالش کوفہ سیلاب تھا,0.5,گریے سے یہاں یمبا عبالِ شکوفہ سلاب تھا,0.625,گریے سے یںں یمبا ابھالے شقوفا سعلاب تھا,0.625,گر یہ سے یہاں یمبہ عبالش اکوفا سلاب تھا,0.875,گریہ سے یہاں یمبہ ابالشکوفا سیلاب تھا,0.625,0.625
common_voice_ur_31987435.mp3,گسی,"[('کسی', 0.30576211710770923)]","[('اسی', 0.7313966552416483)]","[('اسی', 0.4217185874780019)]","[('کرستی', 0.9766904711723328)]","[('اگر', 0.6118170320987701), ('سی', 0.8)]",اسی سی,اسی,1.0,اسی,1.0,کرستی,1.0,اگر سی,1.0,کسی,1.0,1.0
common_voice_ur_31987970.mp3,ہم پر بزدل اور مال بٹورنے والے مسلط ہیں,"[('ہم', 0.7981578707695007), ('پر', 0.730433315038681), ('بزل', 0.38765234500169754), ('اور', 0.83747798204422), ('مال', 0.635080099105835), ('بٹورنے', 0.7509459555149078), ('والے', 0.8337844014167786), ('مسلط', 0.6344914883375168), ('ہے', 0.5049654394388199)]","[('ہم', 0.7195736169815063), ('پر', 0.7930241525173187), ('بزدل', 0.9349886327981949), ('اور', 0.8890378475189209), ('مال', 0.7783423662185669), ('بٹو��نے', 0.9790015646389553), ('والے', 0.920712023973465), ('مسلط', 0.7635957300662994), ('ہیں۔', 0.8)]","[('ہم', 0.5106571950018406), ('پر', 0.4730438143014908), ('بھلتل', 0.8356679201126098), ('اور', 0.8207803964614868), ('مال', 0.7563801407814026), ('بٹورنے', 0.8866692066192627), ('والے', 0.7738620638847351), ('مسلط', 0.6372848153114319), ('ہے', 0.8)]","[('ہم', 0.9997255802154541), ('بر', 0.9997332096099854), ('بجدل', 0.9850155711174011), ('اور', 0.9681332111358643), ('مال', 0.9980809092521667), ('بٹورنے', 0.9661042094230652), ('ولے', 0.9203485250473022), ('مصعلد', 0.9997431635856628), ('ہے', 0.9986916780471802)]","[('ہم', 0.4624047763645649), ('پر', 0.36502838134765625), ('بجدر', 0.8146277517080307), ('اور', 0.7214520573616028), ('مال', 0.8534025847911835), ('بٹورنے', 0.8392191886901855), ('والے', 0.7579674124717712), ('مسلط', 0.8291864991188049), ('ہے', 0.8)]",ہم پر بجدل اور مال بٹورنے والے مسلط ہے,ہم پر بزدل اور مال بٹو��نے والے مسلط ہیں۔,0.2222222222222222,ہم پر بھلتل اور مال بٹورنے والے مسلط ہے,0.2222222222222222,ہم بر بجدل اور مال بٹورنے ولے مصعلد ہے,0.5555555555555556,ہم پر بجدر اور مال بٹورنے والے مسلط ہے,0.2222222222222222,ہم پر بزل اور مال بٹورنے والے مسلط ہے,0.2222222222222222,0.2222222222222222
common_voice_ur_32020009.mp3,کیوبا,"[('کیوبا', 0.7899297674496969)]","[('کیوں', 0.9033243060112), ('با', 0.8)]","[('کیوب', 0.8204247951507568), ('با', 0.8)]","[('کیوبا', 0.9990941882133484)]","[('کیوبا', 0.8058125972747803)]",کیوبا با,کیوں با,1.0,کیوب با,1.0,کیوبا,0.0,کیوبا,0.0,کیوبا,0.0,1.0
common_voice_ur_38471469.mp3,پلاٹ یا کہانی کیا ہوتی تھی، وہی چند عشق اور وصال کے گھسے پٹے موضوع۔,"[('لوٹ', 0.1674313098192215), ('یا', 0.7721496820449829), ('کہانی', 0.7288277447223663), ('کیا', 0.7824365496635437), ('ہوتی', 0.8235117793083191), ('تھی', 0.5474129915237427), ('وہی', 0.8078381419181824), ('چند', 0.78631392121315), ('عشق', 0.5476635694503784), ('اور', 0.6253777295351028), ('وسال', 0.8705265522003174), ('کے', 0.43189194798469543), ('گھسے', 0.5646269917488098), ('پٹے', 0.7238221764564514), ('موضوع', 0.597028911113739)]","[('لوٹ', 0.9993456403414408), ('یا', 0.999828577041626), ('کہانی', 0.9998470743497213), ('کیا', 0.9961336851119995), ('ہوتی', 0.9883562326431274), ('تھی', 0.9997744560241699), ('وہی', 0.9969343841075897), ('چند', 0.998040497303009), ('عشق', 0.9659920930862427), ('اور', 0.9985498785972595), ('وسال', 0.5181496143341064), ('کے', 0.999914288520813), ('گھی', 0.9942127168178558), ('سے', 0.9972484707832336), ('پٹے', 0.9893454909324646), ('موضوع', 0.9568736553192139)]","[('لوٹ', 0.9600997567176819), ('کیا', 0.9462833404541016), ('کہانی', 0.954637348651886), ('کیا', 0.9335824549198151), ('ہوتی', 0.8684801459312439), ('تھی', 0.984366774559021), ('وہی', 0.822163850069046), ('چند', 0.9535968601703644), ('عشق', 0.6533757746219635), ('اور', 0.9830752015113831), ('وسال', 0.48277050256729126), ('کے', 0.9287803173065186), ('گھسے', 0.8448937088251114), ('پٹے', 0.5025858879089355), ('معظوم', 0.8)]","[('لارٹ', 0.9997174143791199), ('یا', 0.9997428059577942), ('کہانی', 0.9644004106521606), ('کیا', 0.9979453086853027), ('ہوتی', 0.9689282774925232), ('تھی', 0.9974523186683655), ('وہی', 0.9860992431640625), ('چند', 0.997481644153595), ('ایش', 0.9366328120231628), ('کار', 0.9959231615066528), ('وسال', 0.8992076516151428), ('کیک', 0.9451318979263306), ('گھسے', 0.958746612071991), ('پٹے', 0.9996525645256042), ('موضع', 0.984186053276062)]","[('لار', 0.935527116060257), ('کیا', 0.98585444688797), ('کہانی', 0.9654792745908102), ('کیا', 0.8904123902320862), ('ہوتی', 0.9638120730717977), ('تھی', 0.9439131319522858), ('وہی', 0.7259983718395233), ('چند', 0.7302386462688446), ('اشک', 0.707433819770813), ('اور', 0.30058586597442627), ('وصال', 0.6213293274243673), ('کے', 0.356332927942276), ('گھسے', 0.8489527553319931), ('پٹے', 0.6232628921667734), ('موزو', 0.7535598874092102)]",لوٹ یا کہانی کیا ہوتی تھی وہی چند عشق اور وسال کے گھسے پٹے پٹے موضوع,لوٹ یا کہانی کیا ہوتی تھی وہی چند عشق اور وسال کے گھی سے پٹے موضوع,0.4,لوٹ کیا کہانی کیا ہوتی تھی وہی چند عشق اور وسال کے گھسے پٹے معظوم,0.3333333333333333,لارٹ یا کہانی کیا ہوتی تھی وہی چند ایش کار وسال کیک گھسے پٹے موضع,0.4666666666666667,لار کیا کہانی کیا ہوتی تھی وہی چند اشک اور وصال کے گھسے پٹے موزو,0.3333333333333333,لوٹ یا کہانی کیا ہوتی تھی وہی چند عشق اور وسال کے گھسے پٹے موضوع,0.26666666666666666,0.3333333333333333
common_voice_ur_38432913.mp3,کوئ نہ کرسکا کیا کام وھ تو نے,"[('کوئی', 0.7219675779342651), ('نہ', 0.7078560590744019), ('کر', 0.730223536491394), ('سکا', 0.8091930150985718), ('کیا', 0.7552423477172852), ('کام', 0.8056527376174927), ('وہ', 0.8463722467422485), ('تو', 0.19088250398635864), ('نے', 0.6896286010742188)]","[('کوئی', 0.9932547410329183), ('نہ', 0.9999172687530518), ('کر', 0.9977626800537109), ('سکا', 0.9998142719268799), ('کیا', 0.7928777933120728), ('کام', 0.9529418051242828), ('وہ', 0.8), ('تو', 0.8), ('نے', 0.8)]","[('کوئی', 0.8980688055356344), ('نہ', 0.9893088340759277), ('کر', 0.7004900574684143), ('سکا', 0.9725525776545206), ('کیا', 0.6289715319871902), ('کام', 0.6983877122402191), ('وہ', 0.5468905568122864), ('تون', 0.8), ('ہے', 0.8)]","[('کوئی', 0.9952425360679626), ('نا', 0.9361294507980347), ('کر', 0.9982155561447144), ('سقا', 0.9618828296661377), ('کیا', 0.9721376299858093), ('کام', 0.9343910217285156), ('وتو', 0.9997254610061646), ('نے', 0.9744950532913208)]","[('کوئی', 0.8777109781901041), ('نہ', 0.942969024181366), ('کر', 0.914031982421875), ('سکا', 0.9833672642707825), ('کیا', 0.6293810456991196), ('کام', 0.7085958868265152), ('وہ', 0.45587801933288574), ('تونے؟', 0.9378465414047241)]",کوئی نہ کر سکا کیا کام وہ تو نے,کوئی نہ کر سکا کیا کام وہ تو نے,0.5,کوئی نہ کر سکا کیا کام وہ تون ہے,0.75,کوئی نا کر سقا کیا کام وتو نے,0.75,کوئی نہ کر سکا کیا کام وہ تونے؟,0.75,کوئی نہ کر سکا کیا کام وہ تو نے,0.5,0.5
common_voice_ur_38443988.mp3,حاصل سوائے حسرتِ حاصل نہیں رہا,"[('حاصل', 0.8514235615730286), ('سوائے', 0.7781159281730652), ('حسرت', 0.8236657977104187), ('حاصل', 0.7177305817604065), ('نہیں', 0.7988001704216003), ('رہا', 0.741221159696579)]","[('حاصل', 0.9990339080492655), ('سوائے', 0.8696196675300598), ('حسرت', 0.9995992382367452), ('حاصل', 0.9997213284174601), ('نہیں', 0.9554276466369629), ('رہا', 0.8)]","[('حاصل', 0.3727467656135559), ('صوابع', 0.568443700671196), ('حسرتے', 0.9636611789464951), ('حاصل', 0.9936589598655701), ('نہیں', 0.7722974419593811), ('رہا', 0.8)]","[('حاصل', 0.9997462034225464), ('سوائے', 0.9799806475639343), ('حصرت', 0.9870287775993347), ('حاصل', 0.9657199382781982), ('نہیں', 0.9706296920776367), ('رہا', 0.9863808751106262)]","[('حاصل', 0.287700558702151), ('صواحی', 0.5483915209770203), ('حصرتِ', 0.9707939773797989), ('حاصل', 0.9888148506482443), ('نہیں', 0.7894824147224426), ('رہا', 0.8)]",حاصل سوائے حسرت حاصل نہیں رہا,حاصل سوائے حسرت حاصل نہیں رہا,0.16666666666666666,حاصل صوابع حسرتے حاصل نہیں رہا,0.3333333333333333,حاصل سوائے حصرت حاصل نہیں رہا,0.16666666666666666,حاصل صواحی حصرتِ حاصل نہیں رہا,0.3333333333333333,حاصل سوائے حسرت حاصل نہیں رہا,0.16666666666666666,0.16666666666666666
