path	ground_truth	prediction
common_voice_ur_32016523.mp3	چنانچہ اب فتوے کا مطلب ہی علما کی طرف سے کسی خاص مألے یا واقعے کے بارے میں حتمی فیصلے کا صدور سمجھا جاتا ہے	 چنانچہ فتوے کا مطلب یہ علماء کی طرف سے کسی خاص مالے یا واقعے کے بارے میں حتمی فیصلے کا سدور سمجھا جاتا ہے
common_voice_ur_41150428.mp3	پوری قوم میں سے خوش نصیب ترین افراد چاہے فوجی ہو یا سویلین دشمن کا مقابلہ کریں گے۔۔۔اور وہی غزوہ ہند کے مجاہد ہوں گے۔۔	 پورے قوم میں سے خوش نصیب ترین افراد چاہے فوجی ہو یا سویلین دشمن کا مقابلہ کریں گے اور وہی غزوہ ہند کے مجاہد ہوں گے
common_voice_ur_31919471.mp3	ہوسکتا ہے کہ آپ کو اپنے انسٹاگرام نیوزفیڈ پہلے سے بہتر لگ رہا ہو یا بہت جلد وہ کچھ بہتر نظر آنے لگے گا	 ہو سکتا ہے کہ آپ کو اپنے انسیگرام نیوز فیڈ پہلے سے بہتر لگ رہا ہو یا بہت جلد وہ کچھ بہتر نظر آنے لگے
common_voice_ur_38442764.mp3	جب تم دنیا کی مفلسی سے تنگ آجاﺅ اور رزق کا کوئی راستہ نہ نکلے تو صدقہ دے کر اللہ سے تجارت کیا کرو	 جب تم دنیا کی مفلسی سے تنگ آ جاؤ اور رزق کا کوئی راستہ نہ نکلے تو صدقہ دے کر اللہ سے تجارت کیا کرو
common_voice_ur_31889349.mp3	ان تمام اقدامات کا مقصد صارفین کو ونڈوز ایکس پی سے نئے آپریٹنگ سسٹم پر اپ گریڈ ہونے میں مدد فراہم کرنا ہے	 ان تمام اقتماد کا مقصد سارفین کو ونڈوز ایکس پی سے نئے اپریٹنگ سسٹم پر اپگریڈ ہونے میں مدد فرام کرنا ہے۔
common_voice_ur_31791056.mp3	راستے بھر میں میرے دوست خوبصورت مناظر کیمرے کی آنکھ میں محفوظ کرتے رہے اور میں اپنی یادداشت کے صفحوں پر نقش تحریر کرتاچلا گیا	 راستے بھر میں میرے دوست کو بسورت مناظر کیمرے کی آنکھ میں محفوظ کرتے رہے اور میں اپنی یادش کے صفحہ پر نقش تحریر کرتا چلا گیا۔
common_voice_ur_32032204.mp3	آنے والے عالمی کپ میں کپتان کی تبدیلی کے حوالے سے ایک سوال پر رمیز راجہ نے کہا کہ یہ ناگزیر معاملہ ہے	 آنے والے عالمی کپ میں کپتان کی تبدیلی کے حوالے سے ایک سوال پر رمیز راجہ نے کہا کہ یہ ناوزیر معاملہ ہے
common_voice_ur_31792537.mp3	کاربن ڈائی آکسائیڈ گیس اور آبی بخارات کے علاوہ ، دوسری گیسیں بھی فضا میں شامل ہوکر گرمی میں اضافے کا سبب بن سکتی ہیں	 کارپن ڈائوکسائیڈ گیس اور آبی بخارات کے علاوہ دوسری گیسیں بھی فضاء میں شامل ہو کر گرمی میں اضافے کا سبب بن سکتی ہیں
common_voice_ur_31866551.mp3	اس کا نتیجہ یہ نکلا ہے کہ اس لفظ کا رائے یا نقطۂ نظر کے مفہوم میں استعمال کم و بیش متروک ہو گیا ہے	 اس کا نتیجہ یہ نکلا ہے کہ اس لفظ کا رائے یا نقطہ نظر کا مفہوم میں استعمال کم و بیش متروک ہو گیا ہے۔
common_voice_ur_31916871.mp3	لیکن توانائی کے متبادل ذرائع ملنے اور انتھک محنت سے تلاش کرنے کی وجہ سے دن بدن تیل کی ضرورت کم ہوتی جارہی ھے	 لیکن دوانائی کے متبادل ذرائع ملنے اور انتھک محنت سے تلاش کرنے کی وجہ سے دن بہ دن تیل کی ضرورت کام ہوتی جا رہی ہے
common_voice_ur_31793899.mp3	مگر ان جوانوں کی شہادت کو کسی نے یاد نہیں کیا جو پچھلے بارہ سال سے دہشت گردی کی جنگ میں شہید ہوئے	 مگر ان نوجوانوں کی شہادت کو کسی نے یاد نہیں کیا جو پچھلے بارہ سال سے دہشت کردی کی جنگ میں شہید ہوئے
common_voice_ur_38422310.mp3	چلو کوئی بات نہیں کبھی وہ دن بھی اللہ لائے گا جب ہم رمضان اور عید دونوں وہیں کریں گے جلدی آئے	 چلو کوئی بات نہیں کبھی وہ دن بھی اللہ لائے گا جب ہم رمضان اور عیب دونوں وہیں کریں گے جلدی آئے
common_voice_ur_38440462.mp3	میں نے زندگی کی سب سے بڑی سچائی قبرستان کے باہر لکھی دیکھی۔ منزل تو میری یہی تھی، بس زندگی گزر گئی یہاں آتے آتے	 میں نے زندگی کی سب سے بڑی سچائے قبرستان کے باہر لکھی دیکھی منزل تو میری یہی تھی بس زندگی گزر گئی یہاں آتے آتے
