sentence	raw_sentence
وہ اسی کی خواہش پورا کرنے گیا تھا باہر پھر بھی کوئی قدر نہیں کی رانیا نے	وہ اسی کی خواہش پورا کرنے گیا تھا باہر پھر بھی کوئی قدر نہیں کی رانیا نے
میرا اپنا خیال ہے کہ شہباز شریف کو انتخابی مہم خود ہی چلانی پڑے گی	میرا اپنا خیال ہے کہ شہباز شریف کو انتخابی مہم خود ہی چلانی پڑے گی۔
خود سے کوئی فیصلہ نہیں کر سکتے	خود سے کوئی فیصلہ نہیں کر سکتے۔
ڈیزل کی اصلیت	ڈیزل کی اصلیت
ٹیکس چوری کے الزام میں اسرائیلی سپر ماڈل کو سزا	ٹیکس چوری کے الزام میں اسرائیلی سپر ماڈل کو سزا
ٹیسلا نے پہلا الیکٹرک ٹرک متعارف کرادیا	ٹیسلا نے پہلا الیکٹرک ٹرک متعارف کرادیا
اور جلسوں کو اپنی کامیابی قرار دے رہے ہیں	اور جلسوں کو اپنی کامیابی قرار دے رہے ہیں
میں اب تک زندہ رہا ہوں	میں اب تک زندہ رہا ہوں
مجھے چاکلیٹ پسند ہے	مجھے چاکلیٹ پسند ہے
سیاست دان اپنے رشتہ داروں کو کاسٹ کروانے کیلئے مجھ سے رابطہ کرتے	سیاست دان اپنے رشتہ داروں کو کاسٹ کروانے کیلئے مجھ سے رابطہ کرتے
سڈل کا منگنی کا انوکھا انداز	سڈل کا منگنی کا انوکھا انداز
اب دروازہ ہے کہ لگاتار کھٹکھٹایا جا رہا ہے	اب دروازہ ہے کہ لگاتار کھٹکھٹایا جا رہا ہے
نواز شریف کی باری آئی تو پہلے دن سے ہی عجیب لڑائیوں میں پڑ گئے	نواز شریف کی باری آئی تو پہلے دن سے ہی عجیب لڑائیوں میں پڑ گئے۔
وہ ٹام کی غلطی نہیں تھی	وہ ٹام کی غلطی نہیں تھی
اس واقعے کی جو تفصیلات قرآن پاک کی مختلف سورتوں میں بیان ہوئی ہیں	اس واقعے کی جو تفصیلات قرآن پاک کی مختلف سورتوں میں بیان ہوئی ہیں
سائیکل تھریشولڈ کہتے ہیں	سائیکل تھریشولڈ کہتے ہیں
ڈاکٹرصاحب سرگودھا یونیورسٹی میں سیاسیات کے استاد ہیں	ڈاکٹرصاحب سرگودھا یونیورسٹی میں سیاسیات کے استاد ہیں۔
ان سے پوچھا جائے کس لیے	ان سے پوچھا جائے، کس لیے؟
ان میں بھی تبدیلی آ سکے گی	ان میں بھی تبدیلی آ سکے گی۔
اس سے پہلے کہ دوسرے لکھیں ہمیں خود اپنی تاریخ درست صورت میں بیان کر دینی چاہیے	اس سے پہلے کہ دوسرے لکھیں، ہمیں خود اپنی تاریخ درست صورت میں بیان کر دینی چاہیے۔
لاعلاج بیماریوں سے نجات پا سکتے ہیں	لاعلاج بیماریوں سے نجات پا سکتے ہیں
میں جوسوالات اٹھا نا چاہتا ہوں ا س کے لیے یہ حوالے کفایت کرتے ہیں	میں جوسوالات اٹھا نا چاہتا ہوں، ا س کے لیے یہ حوالے کفایت کرتے ہیں۔
نہیں معلوم کس کس کا لہو پانی ہوا ہوگا	نہیں معلوم کس کس کا لہو پانی ہوا ہوگا
محاصرے کے بعد ناکام واپس ہوئے	محاصرے کے بعد ناکام واپس ہوئے
ساحل سمندر پر واقع ہونے کی وجہ سے شہر کا موسم بہت معتدل ہے	ساحل سمندر پر واقع ہونے کی وجہ سے شہر کا موسم بہت معتدل ہے
کھیل سمجھا ہے کہیں چھوڑ نہ دے بھول نہ جائے	کھيل سمجھا ہے، کہيں چھوڑ نہ دے، بھول نہ جائے
اس کا ایک نتیجہ یہ ہے کہ کرپشن کی موضوعی تعبیرات وجود میں آ گئی ہیں	اس کا ایک نتیجہ یہ ہے کہ کرپشن کی موضوعی تعبیرات وجود میں آ گئی ہیں۔
تمام مذہبی رسوم عبادات اور مقدس مقامات ان میں شامل ہو جاتے ہیں	تمام مذہبی رسوم، عبادات اور مقدس مقامات ان میں شامل ہو جاتے ہیں
عظیم اجتماع سے خطاب کرتے ہوئے فرمایا کہ	عظیم اجتماع سے خطاب کرتے ہوئے فرمایا کہ
وہ نیلا م ہے	وہ نیلا م ہے
احوال محبت میں کچھ فرق نہیں ایسا	احوال محبت میں کچھ فرق نہیں ایسا
اس کا مطلب ہے کہ ہمیں مذہب کی سچائیوں کو سماجی رویوں سے ہم آہنگ بنانا ہو گا	اس کا مطلب ہے کہ ہمیں مذہب کی سچائیوں کو سماجی رویوں سے ہم آہنگ بنانا ہو گا۔
آتے ہیں جو کام دوسروں کے	آتے ہیں جو کام دوسروں کے
اس لیے اس سے کوئی عمومی قانون دریافت کرنا درست نہیں ہو گا	اس لیے اس سے کوئی عمومی قانون دریافت کرنا درست نہیں ہو گا۔
اس صورت میں یہ ایک فروعی بحث ہے	اس صورت میں یہ ایک فروعی بحث ہے۔
اس لیے میرا تاثر ہے کہ سیاست کے فہم کا یہ انداز بھی وہیں سے آیا ہے	اس لیے میرا تاثر ہے کہ سیاست کے فہم کا یہ انداز بھی وہیں سے آیا ہے۔
انسان اگرخدا کے حکم کے سامنے اپنی آزادی سے دست بردار ہوتا ہے	انسان اگرخدا کے حکم کے سامنے اپنی آزادی سے دست بردار ہوتا ہے۔
ساجد خان کو ایک مرتبہ پھر جنسی ہراسانی کے الزامات کا سامنا	ساجد خان کو ایک مرتبہ پھر جنسی ہراسانی کے الزامات کا سامنا
کبھی ویران صحرا میں	کبھی ویران صحرا میں
رات کو بچے پڑھائی کی اذیت سے بچے	رات کو بچے پڑھائی کی اذیت سے بچے
اس کی فصاحت وبلاغت اور زبان پر قدرت کی مثالیں دی جاتی تھیں	اس کی فصاحت وبلاغت اور زبان پر قدرت کی مثالیں دی جاتی تھیں۔
ڈالر جرمانے کا اعلان کیا	ڈالر جرمانے کا اعلان کیا
اگر جانوروں میں سوچ آگئی تو کیا پھربھی وہ جانور ہی شمار ہوںگے	اگر جانوروں میں سوچ آگئی تو کیا پھربھی وہ جانور ہی شمار ہوںگے؟
کچھ تو اسباب تمنا چاہیے	کچھ تو اسبابِ تمنا چاہیے
جس دن فلسطین آزاد ہوگا اس دن استکبار کی کمر ٹوٹ جائے گی	جس دن فلسطین آزاد ہوگا اس دن استکبار کی کمر ٹوٹ جائے گی
ہر سال شارک سمندری ساحلوں کے قریب آرہی ہے	ہر سال شارک سمندری ساحلوں کے قریب آرہی ہے
اس کا فائدہ ان سے زیادہ دوسروں کو پہنچے گا جو اب ان کے بعد آئیں گے	"اس کا فائدہ ان سے زیادہ دوسروں کو پہنچے گا"" جو اب ان کے بعد آئیں گے۔"
اس سادگی پہ کون نہ مرجائے اے خدا	اس سادگی پہ کون نہ مرجائے اے خدا۔
خدمت خلق کریں نہ کہ دولت جمع کریں	خدمت خلق کریں نہ کہ دولت جمع کریں
واوو گڈ ہو گیا	واوو گڈ ہو گیا
نیاز‘ پردۂ اظہار خود پرستی ہے	نیاز‘ پردۂ اظہارِ خود پرستی ہے
بے رحمی حالات ھے معذور نہیں ھوں	بے رحمیِ حالات ھے ، معذور نہیں ھوں
کدھر گئے ہوئے تھے کل سے	کدھر گئے ہوئے تھے کل سے
لاہور کے ہوٹل ہندوستانی سیاحوں کی آمد کو ہینڈل نہ کر سکیں	لاہور کے ہوٹل ہندوستانی سیاحوں کی آمد کو ہینڈل نہ کر سکیں۔
نبوت کے جن کی طرف تھے اشارے	نبوت کے جن کی طرف تھے اشارے
کیا خوب تھا وہ شخص جس نے دنیا کو بتایا	کیا خوب تھا وہ شخص جس نے دنیا کو بتایا
پس منظر میں یہ نفسیات کارفر ما ہے کہ وہ اسلام کے اصل نمائندہ ہیں	پس منظر میں یہ نفسیات کارفر ما ہے کہ وہ اسلام کے اصل نمائندہ ہیں۔
واپس تھانہ گلبرگ پہنچا دیا گیا ہے	واپس تھانہ گلبرگ پہنچا دیا گیا ہے
تاہم پاکستان کو بھی اپنے خیال رکھنا ہو گا	تاہم پاکستان کو بھی اپنے خیال رکھنا ہو گا
اس نے میری بات پہ غور کرنے کا وعدہ کیا	اس نے میری بات پہ غور کرنے کا وعدہ کیا۔
بھول گئے تعلیم تیری	بھول گئے تعلیم تیری
اس حقیقت کو سمجھنا ضروری ہے	اِس حقیقت کو سمجھنا ضروری ہے
میرے مسلسل مون برت نے بھی ان پر کوئی اثر نہ کیا	میرے مسلسل مون برت نے بھی ان پر کوئی اثر نہ کیا
آج اسمان میں بہت بادل چھائے ہیں	آج اسمان میں بہت بادل چھائے ہیں۔
کبھی ہنستی ہوئی مسکراتی ہوئی	کبھی ہنستی ہوئی، مسکراتی ہوئی
چمکیلی پر پابندی لگانے کی درخواست پر ابرارالحق نے جواب جمع کرادیا	چمکیلی پر پابندی لگانے کی درخواست پر ابرارالحق نے جواب جمع کرادیا
متعدد روایات کے مطابق علی کے سر سے بہتا خون ان کی داڑھی کو رنگ رہا تھا	متعدد روایات کے مطابق علی کے سر سے بہتا خون ان کی داڑھی کو رنگ رہا تھا
پیوں شراب اگر خم بھی دیکھ لوں دو چار	پیوں شراب اگر خم بھی دیکھ لوں دو چار
خانہ ویراں سازئ حیرت تماشا کیجیۓ	خانہ ویراں سازئ حیرت! تماشا کیجیۓ
دیگر امراء کے بیٹوں کی طرح گھڑ سواری سیکھی اور	دیگر امراء کے بیٹوں کی طرح گھڑ سواری سیکھی اور
نقش و نگار دیر میں خون جگر نہ کر تلف	نقش و نگار دیر میں خون جگر نہ کر تلف
کے دانہ خاک میں ملکر گل و گلزار بنتا ھے	کے دانہ خاک میں ملکر گل و گلزار بنتا ھے
ہمارا گھرانہ اکیلا رہ گیا	ہمارا گھرانہ اکیلا رہ گیا
یار آخر کیوں وقت ہم دنوں میں رقیب کا کردار ادا کر رہا ہے	یار۔۔۔۔۔۔۔!!!! آخر کیوں وقت ہم دنوں میں رقیب کا کردار ادا کر رہا ہے
بیداد گروں کی ٹھوکر سے سب خواب سہانے چور ہوئے	بیداد گروں کی ٹھوکر سے سب خواب سہانے چور ہوئے
ان میں سب سے نمایاں مسلمان ہیں جن کی تعداد بیس کروڑ ہے	ان میں سب سے نمایاں مسلمان ہیں جن کی تعداد بیس کروڑ ہے۔
تمہاری یاد ہولے سے	تمہاری یاد ہولے سے
میں برسوں سے پیاسا اور ہیں چند قطرے	میں برسوں سے پیاسا اور ہیں چند قطرے
یہ لیکچر ریکارڈ کر لیے جاتے ہیں	یہ لیکچر ریکارڈ کر لیے جاتے ہیں
انھوں نے کہا کہ قومی مفاد اور عملی ممکنات دیکھ کر ہی آگے چلیں گے	انھوں نے کہا کہ قومی مفاد اور عملی ممکنات دیکھ کر ہی آگے چلیں گے۔
اگر کھو گیا اک نشیمن تو کیا غم	اگر کھو گیا اک نشیمن تو کیا غم
دوسروں کی خوش آمد کا شوق نہیں مجھے	دوسروں کی خوش آمد کا شوق نہیں مجھے
وہ ملتان ہے	وہ ملتان ہے
پھر ڈان میں لکھنا شروع کیا اور وہ پیسے بھی بس خرچے کیلئے کافی تھے	پھر ڈان میں لکھنا شروع کیا اور وہ پیسے بھی بس خرچے کیلئے کافی تھے۔
اسٹین انگلینڈ کیخلاف جوہانسبرگ ٹیسٹ سے بھی باہر	اسٹین انگلینڈ کیخلاف جوہانسبرگ ٹیسٹ سے بھی باہر
ﻟﻮﮔﻮﮞ ﻧﮯ ﺣﯿﺮﺕ ﺳﮯ ﭘﻮﭼﮭﺎ	ﻟﻮﮔﻮﮞ ﻧﮯ ﺣﯿﺮﺕ ﺳﮯ ﭘﻮﭼﮭﺎ
