path,sentence,whisper-large,whisper-medium,wav2vec2-urdu,whisper-small,alif_1,WER
common_voice_ur_32024151.mp3,تمام انسانیت کو اس دلخراش بیماری سے بچاے,"[('تمام', 0.9712366734941801), ('انسانیت', 0.9712366734941801), ('کو', 0.9712366734941801), ('اس', 0.9712366734941801), ('تلخراش', 0.9712366734941801), ('بیماری', 0.9712366734941801), ('سے', 0.9712366734941801), ('بچائے', 0.9712366734941801)]","[('تمام', 0.8588130557537079), ('انسانیت', 0.8588130557537079), ('کو', 0.8588130557537079), ('اس', 0.8588130557537079), ('دلخراش', 0.8588130557537079), ('بیماری', 0.8588130557537079), ('سے', 0.8588130557537079), ('بچائے', 0.8588130557537079)]","[('تمام', 0.98275226354599), ('انسائنت', 0.98275226354599), ('کو', 0.98275226354599), ('اس', 0.98275226354599), ('تلخراش', 0.98275226354599), ('بھیماری', 0.98275226354599), ('سے', 0.98275226354599), ('پچعے', 0.98275226354599)]","[('تمام', 0.7676230991880099), ('انسانت', 0.7676230991880099), ('کو', 0.7676230991880099), ('اس', 0.7676230991880099), ('جلخراش', 0.7676230991880099), ('بیماری', 0.7676230991880099), ('سے', 0.7676230991880099), ('بجائے', 0.7676230991880099)]",تمام انسانیت کو اس تلخراش بیماری سے بچائے۔,0.25
common_voice_ur_32026608.mp3,میں اسلام آباد سے دور ایک علاقے میں رہتی ہوں,"[('میں', 0.9126638309522108), ('اس', 0.9126638309522108), ('آباد', 0.9126638309522108), ('سے', 0.9126638309522108), ('دور', 0.9126638309522108), ('ایک', 0.9126638309522108), ('علاقے', 0.9126638309522108), ('میں', 0.9126638309522108), ('رہتی', 0.9126638309522108), ('ہوں', 0.9126638309522108)]","[('میں', 0.7596387532742127), ('سانہ', 0.7596387532742127), ('باد', 0.7596387532742127), ('سے', 0.7596387532742127), ('دورے', 0.7596387532742127), ('کے', 0.7596387532742127), ('علاقے', 0.7596387532742127), ('میں', 0.7596387532742127), ('رہتی', 0.7596387532742127), ('ہوں', 0.7596387532742127)]","[('بیچھ', 0.965178370475769), ('آ', 0.965178370475769), ('بعد', 0.965178370475769), ('سے', 0.965178370475769), ('دورے', 0.965178370475769), ('کیلاٹئی', 0.965178370475769), ('میں', 0.965178370475769), ('رہتی', 0.965178370475769), ('ہی', 0.965178370475769)]","[('میں', 0.6864218718948818), ('سابات', 0.6864218718948818), ('سے', 0.6864218718948818), ('دور', 0.6864218718948818), ('ایک', 0.6864218718948818), ('علاقے', 0.6864218718948818), ('میں', 0.6864218718948818), ('رہتی', 0.6864218718948818), ('ہوں', 0.6864218718948818)]",میں اس آباد سے دور ایک علاقے میں رہتی ہوں۔,0.1
common_voice_ur_38472238.mp3,گریے سے یاں پنبہٴ بالش کف سیلاب تھا,"[('گریے', 0.9309758579730988), ('سے', 0.9309758579730988), ('یہاں', 0.9309758579730988), ('یمبہ', 0.9309758579730988), ('عبالش', 0.9309758579730988), ('کوفہ', 0.9309758579730988), ('سیلاب', 0.9309758579730988), ('تھا', 0.9309758579730988)]","[('گریے', 0.821337833404541), ('سے', 0.821337833404541), ('یہاں', 0.821337833404541), ('یمبا', 0.821337833404541), ('عبالِ', 0.821337833404541), ('شکوفہ', 0.821337833404541), ('سلاب', 0.821337833404541), ('تھا', 0.821337833404541)]","[('گریے', 0.9697873592376709), ('سے', 0.9697873592376709), ('یںں', 0.9697873592376709), ('یمبا', 0.9697873592376709), ('ابھالے', 0.9697873592376709), ('شقوفا', 0.9697873592376709), ('سعلاب', 0.9697873592376709), ('تھا', 0.9697873592376709)]","[('گر', 0.6993060499429703), ('یہ', 0.6993060499429703), ('سے', 0.6993060499429703), ('یہاں', 0.6993060499429703), ('یمبہ', 0.6993060499429703), ('عبالش', 0.6993060499429703), ('اکوفا', 0.6993060499429703), ('سلاب', 0.6993060499429703), ('تھا', 0.6993060499429703)]",گریے سے یہاں یمبہ عبالش کوفہ سیلاب تھا۔,0.5
common_voice_ur_31987970.mp3,ہم پر بزدل اور مال بٹورنے والے مسلط ہیں,"[('ہم', 0.8982101862247174), ('پر', 0.8982101862247174), ('بزدل', 0.8982101862247174), ('اور', 0.8982101862247174), ('مال', 0.8982101862247174), ('بٹوڑنے', 0.8982101862247174), ('والے', 0.8982101862247174), ('مسلط', 0.8982101862247174), ('ہیں۔', 0.8982101862247174)]","[('ہم', 0.7885338828588525), ('پر', 0.7885338828588525), ('بھلتل', 0.7885338828588525), ('اور', 0.7885338828588525), ('مال', 0.7885338828588525), ('بٹورنے', 0.7885338828588525), ('والے', 0.7885338828588525), ('مسلط', 0.7885338828588525), ('ہے', 0.7885338828588525)]","[('ہم', 0.9791370630264282), ('بر', 0.9791370630264282), ('بجدل', 0.9791370630264282), ('اور', 0.9791370630264282), ('مال', 0.9791370630264282), ('بٹورنے', 0.9791370630264282), ('ولے', 0.9791370630264282), ('مصعلد', 0.9791370630264282), ('ہے', 0.9791370630264282)]","[('ہم', 0.7627012719926627), ('پر', 0.7627012719926627), ('بجدر', 0.7627012719926627), ('اور', 0.7627012719926627), ('مال', 0.7627012719926627), ('بٹورنے', 0.7627012719926627), ('والے', 0.7627012719926627), ('مسلط', 0.7627012719926627), ('ہے', 0.7627012719926627)]",ہم پر بزدل اور مال بٹوڑنے والے مسلط ہیں۔,0.2222222222222222
common_voice_ur_38471469.mp3,پلاٹ یا کہانی کیا ہوتی تھی، وہی چند عشق اور وصال کے گھسے پٹے موضوع۔,"[('لوٹ', 0.9300843469194464), ('یا', 0.9300843469194464), ('کہانی', 0.9300843469194464), ('کیا', 0.9300843469194464), ('ہوتی', 0.9300843469194464), ('تھی', 0.9300843469194464), ('وہی', 0.9300843469194464), ('چند', 0.9300843469194464), ('عشق', 0.9300843469194464), ('اور', 0.9300843469194464), ('وسال', 0.9300843469194464), ('کے', 0.9300843469194464), ('گھی', 0.9300843469194464), ('سے', 0.9300843469194464), ('پٹے', 0.9300843469194464), ('موضوع', 0.9300843469194464)]","[('لوٹ', 0.8087856297691663), ('کیا', 0.8087856297691663), ('کہانی', 0.8087856297691663), ('کیا', 0.8087856297691663), ('ہوتی', 0.8087856297691663), ('تھی', 0.8087856297691663), ('وہی', 0.8087856297691663), ('چند', 0.8087856297691663), ('عشق', 0.8087856297691663), ('اور', 0.8087856297691663), ('وسال', 0.8087856297691663), ('کے', 0.8087856297691663), ('گھسے', 0.8087856297691663), ('پٹے', 0.8087856297691663), ('معظوم', 0.8087856297691663)]","[('لارٹ', 0.9730644822120667), ('یا', 0.9730644822120667), ('کہانی', 0.9730644822120667), ('کیا', 0.9730644822120667), ('ہوتی', 0.9730644822120667), ('تھی', 0.9730644822120667), ('وہی', 0.9730644822120667), ('چند', 0.9730644822120667), ('ایش', 0.9730644822120667), ('کار', 0.9730644822120667), ('وسال', 0.9730644822120667), ('کیک', 0.9730644822120667), ('گھسے', 0.9730644822120667), ('پٹے', 0.9730644822120667), ('موضع', 0.9730644822120667)]","[('لار', 0.7561820561164304), ('کیا', 0.7561820561164304), ('کہانی', 0.7561820561164304), ('کیا', 0.7561820561164304), ('ہوتی', 0.7561820561164304), ('تھی', 0.7561820561164304), ('وہی', 0.7561820561164304), ('چند', 0.7561820561164304), ('اشک', 0.7561820561164304), ('اور', 0.7561820561164304), ('وصال', 0.7561820561164304), ('کے', 0.7561820561164304), ('گھسے', 0.7561820561164304), ('پٹے', 0.7561820561164304), ('موزو', 0.7561820561164304)]",پلاٹ یا کہانی کیا ہوتی تھی وہی چند عشق اور وسال کے گھسے سے پٹے موضوع۔,0.4
common_voice_ur_38432913.mp3,کوئ نہ کرسکا کیا کام وھ تو نے,"[('کوئی', 0.9663221128284931), ('نہ', 0.9663221128284931), ('کر', 0.9663221128284931), ('سکا', 0.9663221128284931), ('کیا', 0.9663221128284931), ('کام', 0.9663221128284931), ('وہ', 0.9663221128284931), ('تو', 0.9663221128284931), ('نے', 0.9663221128284931)]","[('کوئی', 0.8482266366481781), ('نہ', 0.8482266366481781), ('کر', 0.8482266366481781), ('سکا', 0.8482266366481781), ('کیا', 0.8482266366481781), ('کام', 0.8482266366481781), ('وہ', 0.8482266366481781), ('تون', 0.8482266366481781), ('ہے', 0.8482266366481781)]","[('کوئی', 0.9736529588699341), ('نا', 0.9736529588699341), ('کر', 0.9736529588699341), ('سقا', 0.9736529588699341), ('کیا', 0.9736529588699341), ('کام', 0.9736529588699341), ('وتو', 0.9736529588699341), ('نے', 0.9736529588699341)]","[('کوئی', 0.8534201814068688), ('نہ', 0.8534201814068688), ('کر', 0.8534201814068688), ('سکا', 0.8534201814068688), ('کیا', 0.8534201814068688), ('کام', 0.8534201814068688), ('وہ', 0.8534201814068688), ('تونے؟', 0.8534201814068688)]",کوئی نہ کر سکا کیا کام وہ تو نے۔,0.5
common_voice_ur_38443988.mp3,حاصل سوائے حسرتِ حاصل نہیں رہا,"[('حاصل', 0.9661930203437805), ('سوائے', 0.9661930203437805), ('حسرت', 0.9661930203437805), ('حاصل', 0.9661930203437805), ('نہیں', 0.9661930203437805), ('رہا', 0.9661930203437805)]","[('حاصل', 0.7405317802178232), ('صوابع', 0.7405317802178232), ('حسرتے', 0.7405317802178232), ('حاصل', 0.7405317802178232), ('نہیں', 0.7405317802178232), ('رہا', 0.7405317802178232)]","[('حاصل', 0.9817878603935242), ('سوائے', 0.9817878603935242), ('حصرت', 0.9817878603935242), ('حاصل', 0.9817878603935242), ('نہیں', 0.9817878603935242), ('رہا', 0.9817878603935242)]","[('حاصل', 0.7259011794077722), ('صواحی', 0.7259011794077722), ('حصرتِ', 0.7259011794077722), ('حاصل', 0.7259011794077722), ('نہیں', 0.7259011794077722), ('رہا', 0.7259011794077722)]",حاصل سوائے حسرت حاصل نہیں رہا۔,0.1666666666666666
common_voice_ur_41125395.mp3,حقیقت پر صحیح طریقہ سے بحث,"[('حقیقت', 0.9191628187894821), ('میں', 0.9191628187894821), ('ہر', 0.9191628187894821), ('صحیح', 0.9191628187894821), ('طریقے', 0.9191628187894821), ('سے', 0.9191628187894821), ('بحث', 0.9191628187894821)]","[('حقیقت', 0.8724267065525055), ('میں', 0.8724267065525055), ('ہر', 0.8724267065525055), ('صحیح', 0.8724267065525055), ('طریقے', 0.8724267065525055), ('سے', 0.8724267065525055), ('بحث', 0.8724267065525055)]","[('حاقیقتمی', 0.9764425158500671), ('ہر', 0.9764425158500671), ('صحیح', 0.9764425158500671), ('ترکے', 0.9764425158500671), ('سے', 0.9764425158500671), ('بحث', 0.9764425158500671)]","[('حاکی', 0.5090431272983551), ('کنوی', 0.5090431272983551), ('ہر', 0.5090431272983551), ('ساییی', 0.5090431272983551), ('تریکہ', 0.5090431272983551), ('سے', 0.5090431272983551), ('باہس', 0.5090431272983551)]",حقیقت میں ہر صحیح طریقے سے بحث۔,0.5
common_voice_ur_32021420.mp3,تمام پالیسیوں کا محور معاشی نشوونما ہونا چاہیے قائم مقام صدر ایل سی سی ائی,"[('تمام', 0.8520765135685603), ('پولیسیوں', 0.8520765135685603), ('کا', 0.8520765135685603), ('محور', 0.8520765135685603), ('معاشی', 0.8520765135685603), ('نشانمہ', 0.8520765135685603), ('ہونا', 0.8520765135685603), ('چاہیے', 0.8520765135685603), ('قائم', 0.8520765135685603), ('مقام', 0.8520765135685603), ('صدر', 0.8520765135685603), ('لچی', 0.8520765135685603), ('سی', 0.8520765135685603), ('آئی', 0.8520765135685603)]","[('تمام', 0.7493899660866435), ('پہلیسوں', 0.7493899660866435), ('کا', 0.7493899660866435), ('مہور', 0.7493899660866435), ('ماشی', 0.7493899660866435), ('نشنمہ', 0.7493899660866435), ('ہونا', 0.7493899660866435), ('چاہیے', 0.7493899660866435), ('قائم', 0.7493899660866435), ('مقام', 0.7493899660866435), ('صدر', 0.7493899660866435), ('LCCI', 0.7493899660866435)]","[('تمام', 0.9655556082725525), ('پھور', 0.9655556082725525), ('اسیوں', 0.9655556082725525), ('کا', 0.9655556082725525), ('مہبر', 0.9655556082725525), ('مارشی', 0.9655556082725525), ('ن', 0.9655556082725525), ('شہنوما', 0.9655556082725525), ('ہونا', 0.9655556082725525), ('چاہیے', 0.9655556082725525), ('قائم', 0.9655556082725525), ('مکام', 0.9655556082725525), ('صدر', 0.9655556082725525), ('ایل', 0.9655556082725525), ('سی', 0.9655556082725525), ('سیائی', 0.9655556082725525)]","[('تو', 0.6617054072982174), ('مام', 0.6617054072982174), ('پوریسیوں', 0.6617054072982174), ('کا', 0.6617054072982174), ('محور', 0.6617054072982174), ('ماشی', 0.6617054072982174), ('نشنماء', 0.6617054072982174), ('ہونا', 0.6617054072982174), ('چاہیے', 0.6617054072982174), ('کائم', 0.6617054072982174), ('مقام', 0.6617054072982174), ('صدر', 0.6617054072982174), ('ڈل', 0.6617054072982174), ('ڈی', 0.6617054072982174), ('ڈی', 0.6617054072982174), ('ڈی', 0.6617054072982174), ('ڈی', 0.6617054072982174)]",تمام پولیسیوں کا محور معاشی نشانمہ ہونا چاہیے قائم مقام صدر لچی سی آئی۔,0.3333333333333333
common_voice_ur_41165864.mp3,ہمارے جیسے معاشرے میں قانونی موشگافیوں سے کام نہیں چلتا۔,"[('ہمارے', 0.9640245456248522), ('جیسے', 0.9640245456248522), ('معاشرے', 0.9640245456248522), ('میں', 0.9640245456248522), ('قانونی', 0.9640245456248522), ('مشاگفیوں', 0.9640245456248522), ('سے', 0.9640245456248522), ('کام', 0.9640245456248522), ('نہیں', 0.9640245456248522), ('چلتا', 0.9640245456248522)]","[('ہمارے', 0.8235373587319346), ('جیسے', 0.8235373587319346), ('معاشرے', 0.8235373587319346), ('میں', 0.8235373587319346), ('کانونی', 0.8235373587319346), ('مشاہگافیوں', 0.8235373587319346), ('سے', 0.8235373587319346), ('کام', 0.8235373587319346), ('نہیں', 0.8235373587319346), ('چلتا', 0.8235373587319346)]","[('ہمارے', 0.9879890084266663), ('جیسے', 0.9879890084266663), ('ماشرے', 0.9879890084266663), ('میں', 0.9879890084266663), ('قانونی', 0.9879890084266663), ('مشاغافیوں', 0.9879890084266663), ('سے', 0.9879890084266663), ('کام', 0.9879890084266663), ('نہیں', 0.9879890084266663), ('چلتا', 0.9879890084266663)]","[('ہمارے', 0.8594042137265205), ('جیسے', 0.8594042137265205), ('ماشرے', 0.8594042137265205), ('میں', 0.8594042137265205), ('کانونی', 0.8594042137265205), ('مشاگافیوں', 0.8594042137265205), ('سے', 0.8594042137265205), ('کام', 0.8594042137265205), ('نہیں', 0.8594042137265205), ('چلتا', 0.8594042137265205)]",ہمارے جیسے معاشرے میں قانونی مشاگفیوں سے کام نہیں چلتا۔,0.2
